age,dic,,,,,,
54054,0.002067,,,,,,
54054,0.002068,,,,,,
54054,0.002070,,,,,,
54053,0.002072,,,,,,
54053,0.002075,,,,,,
54053,0.002077,,,,,,
54052,0.002079,,,,,,
54052,0.002081,,,,,,
54052,0.002083,,,,,,
54051,0.002084,,,,,,
54051,0.002087,,,,,,
54051,0.002090,,,,,,
54050,0.002093,,,,,,
54050,0.002096,,,,,,
54050,0.002097,,,,,,
54049,0.002098,,,,,,
54049,0.002099,,,,,,
54049,0.002100,,,,,,
54049,0.002102,,,,,,
54049,0.002105,,,,,,
54048,0.002107,,,,,,
54048,0.002110,,,,,,
54048,0.002113,,,,,,
54047,0.002115,,,,,,
54047,0.002117,,,,,,
54047,0.002119,,,,,,
54046,0.002122,,,,,,
54046,0.002125,,,,,,
54046,0.002129,,,,,,
54045,0.002133,,,,,,
54045,0.002137,,,,,,
54044,0.002140,,,,,,
54044,0.002144,,,,,,
54043,0.002147,,,,,,
54043,0.002151,,,,,,
54043,0.002156,,,,,,
54042,0.002161,,,,,,
54041,0.002166,,,,,,
54041,0.002172,,,,,,
54040,0.002178,,,,,,
54039,0.002185,,,,,,
54039,0.002191,,,,,,
54038,0.002198,,,,,,
54037,0.002205,,,,,,
54036,0.002212,,,,,,
54036,0.002219,,,,,,
54035,0.002226,,,,,,
54035,0.002226,,,,,,
54035,0.002226,,,,,,
54035,0.002226,,,,,,
54035,0.002226,,,,,,
54035,0.002226,,,,,,
54035,0.002226,,,,,,
54035,0.002226,,,,,,
54035,0.002227,,,,,,
54035,0.002227,,,,,,
54034,0.002228,,,,,,
54034,0.002230,,,,,,
54034,0.002231,,,,,,
54033,0.002233,,,,,,
54033,0.002235,,,,,,
54033,0.002237,,,,,,
54032,0.002239,,,,,,
54032,0.002241,,,,,,
54031,0.002243,,,,,,
54031,0.002244,,,,,,
54030,0.002245,,,,,,
54030,0.002246,,,,,,
54030,0.002247,,,,,,
54029,0.002249,,,,,,
54029,0.002250,,,,,,
54028,0.002252,,,,,,
54028,0.002253,,,,,,
54027,0.002254,,,,,,
54026,0.002255,,,,,,
54026,0.002256,,,,,,
54026,0.002256,,,,,,
54025,0.002257,,,,,,
54024,0.002258,,,,,,
54024,0.002258,,,,,,
54023,0.002259,,,,,,
54022,0.002259,,,,,,
54022,0.002260,,,,,,
54021,0.002260,,,,,,
54020,0.002260,,,,,,
54019,0.002260,,,,,,
54018,0.002260,,,,,,
54017,0.002260,,,,,,
54016,0.002259,,,,,,
54015,0.002259,,,,,,
54013,0.002258,,,,,,
54011,0.002257,,,,,,
54010,0.002256,,,,,,
54010,0.002255,,,,,,
54008,0.002254,,,,,,
54007,0.002252,,,,,,
54005,0.002250,,,,,,
54003,0.002248,,,,,,
54002,0.002246,,,,,,
54000,0.002244,,,,,,
53999,0.002242,,,,,,
53997,0.002240,,,,,,
53995,0.002238,,,,,,
53994,0.002236,,,,,,
53992,0.002233,,,,,,
53991,0.002231,,,,,,
53989,0.002229,,,,,,
53988,0.002227,,,,,,
53987,0.002225,,,,,,
53985,0.002223,,,,,,
53984,0.002221,,,,,,
53982,0.002218,,,,,,
53981,0.002216,,,,,,
53979,0.002214,,,,,,
53978,0.002212,,,,,,
53976,0.002209,,,,,,
53975,0.002207,,,,,,
53973,0.002205,,,,,,
53971,0.002202,,,,,,
53970,0.002200,,,,,,
53968,0.002198,,,,,,
53967,0.002196,,,,,,
53965,0.002193,,,,,,
53964,0.002191,,,,,,
53962,0.002189,,,,,,
53961,0.002187,,,,,,
53959,0.002184,,,,,,
53958,0.002182,,,,,,
53956,0.002179,,,,,,
53955,0.002178,,,,,,
50000,0.002182,,,,,,
