age (ka; for time dependent parameters) ,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
58189,36.22138461,0.821682331,34.44519914,35.70630029,36.33252343,36.83846363,37.47444069,1.072826882,91
58179,36.95919274,0.870850228,35.08928841,36.41412443,37.05582983,37.59623454,38.37630369,1.062439478,100
58173,37.09438546,0.855281344,35.23985357,36.56821929,37.19107175,37.71514034,38.47208337,1.065704135,97
58171,36.49739382,0.843614314,34.64503012,35.9789378,36.60222487,37.11393653,37.82293308,1.07017884,92
58169,36.04950635,0.822811953,34.24498296,35.54074766,36.16326967,36.66355424,37.30004749,1.074664486,87
58162,36.93830286,0.869392566,35.05681618,36.38865459,37.03395281,37.56852995,38.355017,1.064719891,99
58154,37.42303102,0.856968688,35.56997982,36.88379731,37.52042333,38.0477145,38.81361474,1.063592369,100
58153,37.02403754,0.851690679,35.16583187,36.48850598,37.12581601,37.64914174,38.38040039,1.067400349,95
58150,36.59171561,0.825141301,34.80984899,36.07593203,36.7032443,37.20930325,37.84983363,1.073326804,89
58149,36.65556234,0.834084467,34.86477586,36.13238269,36.76564498,37.27143259,37.95235061,1.071071026,91
58136,36.42017109,0.859761206,34.54122309,35.88511448,36.51245596,37.04869331,37.80677821,1.066268431,96
58133,36.10741593,0.843429927,34.28287516,35.57917478,36.21055113,36.72750625,37.44361883,1.069948323,92
58131,36.30105992,0.822290051,34.5048969,35.78507275,36.4115733,36.91719029,37.55127146,1.074901008,88
58128,37.03242509,0.847226494,35.1840507,36.50264908,37.13326344,37.65635732,38.38758375,1.066079664,98
58119,36.50106084,0.864355639,34.62203304,35.96103197,36.59941958,37.13102421,37.89810078,1.063519674,100
58116,36.58061045,0.847856073,34.7487569,36.05609647,36.67672199,37.2025009,37.93085341,1.065774248,98
58113,36.06980458,0.816200461,34.29860071,35.56372567,36.17955638,36.68173206,37.31431421,1.073267311,89
58112,36.37510764,0.827292783,34.58166579,35.85970404,36.4759678,36.98973536,37.66819212,1.071193951,91
58110,36.5740189,0.851886464,34.72292864,36.04523161,36.66794861,37.20016337,37.93831901,1.066745489,97
58102,36.67355868,0.852823314,34.81229937,36.14018887,36.768096,37.29767265,38.03771445,1.067397165,95
58101,36.62681583,0.839972733,34.79546977,36.103226,36.72915082,37.24721756,37.95603073,1.066759024,97
58099,36.07034318,0.815692075,34.29563607,35.55562414,36.18403589,36.68033429,37.32490102,1.071893783,91
58096,36.41480106,0.851918287,34.54696628,35.8825392,36.51345768,37.0419434,37.7555931,1.068209044,94
58091,37.0446436,0.866698372,35.16924416,36.51066267,37.14229953,37.68401812,38.42645474,1.06815911,94
58086,37.25430677,0.830161354,35.44842406,36.74081791,37.37417224,37.87489986,38.50334016,1.076849756,86
58081,37.41786907,0.866192043,35.5270028,36.8772236,37.51668171,38.05106856,38.81303864,1.066165212,96
58074,36.96439158,0.859824953,35.09411854,36.42560385,37.06484592,37.59686833,38.32325986,1.070531834,92
58073,37.37214809,0.84914737,35.53053685,36.83891611,37.47373011,37.99992233,38.71831538,1.069270167,93
58071,37.00838856,0.833704618,35.17389417,36.48180736,37.1233214,37.63237698,38.27666052,1.074717264,88
58068,37.21421865,0.857912296,35.35036443,36.67416474,37.31903466,37.84905026,38.55895209,1.068910052,94
58064,37.18739673,0.869502,35.29985427,36.64517476,37.28963463,37.82564872,38.58625221,1.06651604,96
58057,36.74881758,0.823206771,34.96697835,36.23048963,36.86731116,37.36905411,37.98721287,1.075899978,86
58045,36.50092086,0.838317806,34.66663801,35.98270322,36.59844427,37.11581859,37.8345709,1.065830771,97
58043,35.65278912,0.816536828,33.87392411,35.14581047,35.76239585,36.25848525,36.89945708,1.073511631,88
58029,36.26082015,0.817167054,34.48449212,35.74594076,36.37267182,36.87444088,37.50130339,1.075884831,86
58015,35.42495841,0.807750358,33.68600116,34.9175826,35.52763775,36.02841267,36.67791931,1.070231156,92
58001,36.14006141,0.802168229,34.38283205,35.63959559,36.25343085,36.74706865,37.34031233,1.074814139,88
57990,35.99404362,0.849068104,34.15598836,35.46236755,36.08916326,36.61050997,37.34799075,1.0664668,97
57987,36.01950479,0.823153746,34.22225277,35.49879999,36.12530263,36.63661681,37.28248176,1.072985477,89
57976,35.72822137,0.848466391,33.92003034,35.19703893,35.82171462,36.35204798,37.09308769,1.065008478,98
57973,35.51707487,0.813380544,33.74974804,35.00479462,35.62627996,36.12620714,36.76601787,1.072707874,89
57962,35.93127938,0.842913173,34.09103232,35.40455084,36.02887223,36.55343972,37.28283856,1.064637578,99
57959,35.44856475,0.816264041,33.67695372,34.94190115,35.56076844,36.05938259,36.70478916,1.072275014,90
57945,35.32211914,0.807274472,33.5674523,34.82401822,35.42381788,35.92289748,36.56927952,1.070722511,92
57931,35.16598556,0.802806943,33.41993572,34.65903899,35.2721815,35.76596018,36.40551567,1.069621398,94
57917,35.10589348,0.803675004,33.34220389,34.60205229,35.21140891,35.70595927,36.34446904,1.070597977,92
57903,34.84631857,0.801917275,33.11354032,34.33913783,34.95208036,35.44070524,36.09379246,1.071322013,91
57876,35.16832677,0.808301364,33.40128092,34.66993711,35.27254273,35.76912764,36.42317905,1.070931122,91
57862,34.15556587,0.793235261,32.42651418,33.65713016,34.25415359,34.74542979,35.39218388,1.069169762,93
57851,34.4089751,0.890141552,32.47310075,33.85549447,34.48739824,35.03950047,35.92544323,1.052548901,120
57848,34.53891641,0.792923796,32.82972334,34.03966119,34.64616903,35.13305051,35.75948513,1.070871104,91
57834,35.18553479,0.803078403,33.42906966,34.6823476,35.29367817,35.77841952,36.43149316,1.070826272,91
57820,34.5559327,0.794350638,32.83286101,34.05612808,34.66445127,35.14618866,35.77675992,1.07037553,92
57806,34.68450129,0.799176212,32.95896053,34.18129475,34.78851448,35.28489284,35.91589306,1.070785633,92
57792,33.85656392,0.783183081,32.16749415,33.36189953,33.95753108,34.4409811,35.08064454,1.068321917,95
57778,33.72433467,0.774053084,32.04279843,33.24046162,33.82990888,34.30297732,34.91047249,1.070328844,92
