age (ka; for time dependent parameters) ,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
58179,-1.175760084,0.097460747,-1.366751573,-1.241804557,-1.175589169,-1.109703232,-0.983925036,1.001931167,4600
58173,-1.175763466,0.097478223,-1.366928377,-1.241825833,-1.175546902,-1.109766939,-0.984264524,1.001930073,4600
58171,-1.175762929,0.097466022,-1.366714693,-1.241962309,-1.175752974,-1.109860595,-0.983824949,1.001931995,4600
58169,-1.17574615,0.097472356,-1.367110699,-1.241983987,-1.175595346,-1.109796705,-0.984053591,1.001933896,4500
58162,-1.175760745,0.097473932,-1.366606806,-1.241917337,-1.175603366,-1.109818845,-0.984017145,1.001937697,4500
58154,-1.175745211,0.09746438,-1.366493815,-1.241908629,-1.175602722,-1.109815061,-0.983761812,1.001931813,4600
58153,-1.175735227,0.097454315,-1.366743875,-1.241985189,-1.175710157,-1.109675428,-0.983588379,1.001929981,4600
58150,-1.175747269,0.09745455,-1.366427807,-1.241965966,-1.175646334,-1.109955464,-0.984088073,1.001932058,4600
58149,-1.175739423,0.097450632,-1.366543393,-1.241740662,-1.175764268,-1.10977586,-0.984254364,1.001932469,4600
58136,-1.175737315,0.097460866,-1.366542116,-1.241848451,-1.17568821,-1.110115287,-0.98421263,1.001913826,4600
58133,-1.175749169,0.097458361,-1.36687039,-1.241912413,-1.175612825,-1.109810458,-0.983971762,1.001922325,4600
58131,-1.1757513,0.097452954,-1.366739408,-1.241824128,-1.175680769,-1.109842789,-0.983913485,1.001918115,4600
58128,-1.175737927,0.097463624,-1.366857626,-1.241899681,-1.175666257,-1.109916527,-0.984034407,1.001921619,4600
58119,-1.175739688,0.097449585,-1.366906197,-1.241841503,-1.175606329,-1.109840189,-0.984385708,1.001931654,4600
58116,-1.175729344,0.097449078,-1.366690014,-1.241885044,-1.175583293,-1.109836632,-0.984371975,1.00193172,4600
58113,-1.175711733,0.097446727,-1.366560501,-1.241961626,-1.175716866,-1.109753324,-0.983990685,1.001930163,4600
58112,-1.175721595,0.097452553,-1.366616743,-1.241832224,-1.175718348,-1.109646462,-0.983788477,1.001929604,4600
58110,-1.175724933,0.097458953,-1.366627347,-1.24178648,-1.17561626,-1.10958184,-0.984128551,1.001929424,4600
58102,-1.175725176,0.097460861,-1.367039081,-1.241885281,-1.175563525,-1.109839804,-0.984006842,1.001935375,4500
58101,-1.175731464,0.097457704,-1.366849951,-1.241978895,-1.175643472,-1.109719386,-0.984140034,1.001928402,4600
58099,-1.175722206,0.097470702,-1.366804534,-1.2419135,-1.175606107,-1.109924116,-0.984017556,1.001927852,4600
58096,-1.17570284,0.097452957,-1.366713692,-1.241919867,-1.175722374,-1.109784477,-0.984172769,1.001925747,4600
58091,-1.175719496,0.097455143,-1.366363289,-1.242004401,-1.175758073,-1.109754617,-0.983929987,1.001935402,4500
58086,-1.175722509,0.097459794,-1.36689541,-1.241704869,-1.175602577,-1.109774963,-0.98396301,1.001932831,4600
58081,-1.175740447,0.097462707,-1.366938023,-1.241832062,-1.175682294,-1.109654466,-0.984176048,1.00193512,4500
58074,-1.175735699,0.097456207,-1.366494245,-1.242003868,-1.175621058,-1.11013378,-0.984089759,1.001942184,4500
58073,-1.175730425,0.097464153,-1.366363483,-1.242011236,-1.175630795,-1.109808803,-0.984004699,1.001939978,4500
58071,-1.175729631,0.097454614,-1.366195963,-1.242038387,-1.175539601,-1.109811916,-0.984103042,1.001944545,4500
58068,-1.175731065,0.097461758,-1.366059511,-1.241777249,-1.175473136,-1.10983759,-0.984026975,1.001937338,4500
58064,-1.175735304,0.09746326,-1.366639544,-1.242017843,-1.175564151,-1.109891191,-0.983757216,1.001924836,4600
58057,-1.175756026,0.097457758,-1.366691768,-1.241732873,-1.175589778,-1.109895082,-0.984401561,1.001936126,4500
58045,-1.175739981,0.097454444,-1.366917037,-1.241883987,-1.175609842,-1.109771943,-0.983959338,1.001933138,4500
58043,-1.175737705,0.09746683,-1.366587962,-1.241940158,-1.175454281,-1.109729878,-0.984007922,1.001930729,4600
58029,-1.175743469,0.09745672,-1.366191428,-1.241806452,-1.1755938,-1.109846215,-0.983984483,1.001924224,4600
58015,-1.175738694,0.097447778,-1.36640337,-1.241945743,-1.175732208,-1.109792801,-0.984204351,1.001926778,4600
58001,-1.175751421,0.097434994,-1.36627264,-1.241934824,-1.175766121,-1.109841079,-0.984219421,1.001922083,4600
57990,-1.175759876,0.097438211,-1.366885837,-1.241872252,-1.175687461,-1.110003064,-0.98419102,1.001924099,4600
57987,-1.175774393,0.097451327,-1.36642057,-1.241753688,-1.175529742,-1.110075029,-0.984108773,1.001922373,4600
57976,-1.175779393,0.097473266,-1.366984249,-1.242043996,-1.17564259,-1.109788194,-0.983753118,1.001932198,4600
57973,-1.175765523,0.097471318,-1.366789181,-1.241815561,-1.17566955,-1.109757476,-0.984328948,1.001930251,4600
57962,-1.175766885,0.097451283,-1.367061346,-1.241919513,-1.17554116,-1.109959301,-0.98433165,1.001933834,4500
57959,-1.175764283,0.0974684,-1.366721693,-1.241930102,-1.175539629,-1.110095286,-0.984166828,1.001935277,4500
57945,-1.175743034,0.097461287,-1.366831979,-1.241920585,-1.175656793,-1.110047957,-0.984512313,1.001936914,4500
57931,-1.175751778,0.097453373,-1.366931867,-1.241730461,-1.175687892,-1.109866881,-0.984117279,1.001917041,4600
57917,-1.175733561,0.097461219,-1.36683879,-1.241754429,-1.175693147,-1.109893418,-0.984450035,1.001927898,4600
