age (ka; for time dependent parameters) ,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
58776,21.40993728,0.498614178,20.42729471,21.07506021,21.41140429,21.74388665,22.39116682,1.003227513,2100
58759,21.40670791,0.498655414,20.42563838,21.07117313,21.40714668,21.74020075,22.38907374,1.003221,2100
58741,21.40316614,0.498660225,20.42081827,21.06834262,21.40489286,21.73619529,22.38153078,1.003227897,2100
58724,21.40012178,0.49869846,20.41533659,21.06481519,21.40122573,21.73277125,22.38062401,1.003229132,2100
58706,21.39668064,0.498828398,20.41602524,21.06165452,21.39846914,21.7295977,22.38146826,1.003213536,2100
58688,21.39321971,0.498720085,20.41052009,21.05838366,21.39465853,21.72576334,22.37575186,1.003218942,2100
58671,21.39008953,0.498835614,20.40902348,21.0569945,21.39204465,21.7232802,22.37492615,1.003210414,2100
58654,21.38668306,0.498829241,20.40407731,21.0516903,21.38782597,21.7201107,22.3676602,1.003234294,2100
58638,21.3836593,0.498839885,20.39934495,21.04842274,21.38495252,21.71741282,22.36526008,1.003216769,2100
58621,21.38045077,0.49873638,20.39640992,21.04521511,21.38167002,21.71355749,22.36302307,1.00322407,2100
58605,21.37751912,0.498791373,20.39583919,21.04355729,21.37899212,21.71017209,22.36088847,1.003210191,2100
58589,21.37435177,0.498738151,20.39442844,21.03993899,21.37631016,21.70816537,22.35462672,1.00320036,2100
58571,21.37100196,0.498795984,20.39147547,21.03671829,21.37277675,21.70445182,22.35156659,1.003213145,2100
58553,21.36745693,0.498718198,20.38402642,21.03298651,21.36955147,21.70059479,22.3493111,1.003221087,2100
58534,21.36392031,0.498812931,20.38207093,21.03021388,21.36485493,21.69735247,22.34682468,1.003226265,2100
58516,21.36044823,0.49878215,20.37801913,21.0256635,21.36241252,21.69377113,22.34173407,1.003233437,2100
58497,21.35691363,0.498746728,20.375158,21.02301273,21.35857877,21.68964334,22.34162267,1.003236868,2100
58479,21.35341018,0.498769366,20.37226112,21.0177665,21.35466241,21.68690648,22.33272379,1.003250505,2100
58460,21.34984613,0.498769339,20.36828754,21.01530647,21.35170838,21.68365927,22.32942321,1.00323413,2100
58441,21.34630411,0.498671175,20.36455281,21.01108181,21.34721265,21.68131517,22.32602938,1.00323132,2100
58421,21.34245293,0.498705374,20.36017657,21.00713416,21.34439887,21.67536078,22.32487014,1.003226263,2100
58402,21.33868842,0.498659953,20.35971885,21.00304851,21.34105299,21.67075525,22.31815232,1.003229743,2100
58383,21.33515137,0.49883112,20.35460543,21.00090277,21.33615656,21.66886725,22.31545548,1.003242203,2100
58363,21.33133833,0.498805964,20.35004144,20.99577449,21.33256867,21.66486022,22.31295441,1.003231459,2100
58344,21.32789412,0.498719824,20.34672518,20.99232223,21.32911315,21.66118653,22.30905703,1.003227755,2100
58328,21.32479274,0.498652865,20.34405228,20.99025221,21.32588691,21.65843844,22.30600383,1.00322748,2100
58324,21.32414511,0.498606814,20.3423268,20.9884356,21.32562574,21.65683559,22.3030141,1.00322933,2100
58309,21.32103374,0.498700805,20.33813109,20.98649162,21.32216139,21.6549421,22.30009677,1.003222627,2100
58305,21.32056219,0.498731904,20.33942911,20.98570661,21.32192185,21.65383648,22.30022509,1.003225797,2100
58288,21.31713645,0.498621791,20.33672368,20.98162765,21.31860972,21.65050213,22.29916048,1.00324689,2100
58286,21.31698002,0.498658442,20.33516173,20.98211417,21.31839949,21.64989211,22.29929119,1.003231946,2100
58283,21.31631982,0.498766102,20.33299791,20.98169116,21.31779424,21.65020599,22.29860045,1.003231675,2100
58279,21.31549786,0.498709136,20.333676,20.98103444,21.31694475,21.64875521,22.29638403,1.003215675,2100
58268,21.31321711,0.498676693,20.33451569,20.97874006,21.31452372,21.64608398,22.293884,1.003225353,2100
58266,21.31296855,0.498641184,20.33425217,20.97862354,21.31405726,21.64587146,22.29431622,1.00321765,2100
58257,21.31131518,0.49870651,20.32855073,20.97645313,21.31301854,21.64341585,22.29230338,1.003210206,2100
58249,21.30971516,0.498632881,20.32696325,20.97498308,21.31179171,21.6434351,22.29180051,1.003216602,2100
58248,21.30961794,0.498664238,20.32639982,20.97502825,21.31090297,21.64366927,22.28864525,1.003225429,2100
58247,21.3094234,0.498671474,20.32715986,20.97477009,21.31084156,21.6434343,22.29213754,1.003219494,2100
58240,21.30821486,0.498599036,20.32694671,20.97415385,21.3102869,21.64164025,22.28984422,1.003228082,2100
58235,21.30718165,0.498652616,20.32577291,20.97253186,21.30836893,21.64028397,22.29088332,1.00324261,2100
58229,21.30611806,0.498677732,20.32400718,20.97190869,21.30725128,21.64137345,22.28627063,1.003208056,2100
58228,21.30598589,0.498587252,20.32419931,20.97180976,21.30713007,21.64052464,22.28454904,1.003199558,2100
58224,21.30509741,0.498637982,20.32261557,20.97095777,21.30605924,21.63950091,22.28581437,1.003214119,2100
58218,21.30395221,0.498654479,20.31878036,20.97033915,21.30597243,21.63651893,22.28728301,1.003217516,2100
58210,21.30241814,0.498704137,20.31859876,20.96671635,21.30331087,21.63421457,22.28542221,1.003205208,2100
