age (ka; for time dependent parameters) ,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
58776,68.578455,0.497068358,67.60221243,68.24253794,68.57744968,68.91332648,69.56608856,1.001371604,9300
58759,68.53188263,0.497277643,67.55350855,68.19611986,68.53032942,68.86692716,69.51709571,1.001376211,9200
58741,68.48251398,0.497172657,67.504709,68.14685997,68.48138021,68.81763311,69.468015,1.001369223,9300
58724,68.43591856,0.497317287,67.46134554,68.1000261,68.43502713,68.77118846,69.42330852,1.001376428,9200
58706,68.38659601,0.49728993,67.41099176,68.051632,68.38601419,68.72161329,69.37408607,1.001373474,9200
58688,68.33732098,0.497230112,67.36386674,68.00073488,68.33546922,68.67248973,69.32487953,1.001377677,9200
58671,68.29080114,0.497298802,67.31500902,67.9544193,68.28867575,68.62593587,69.276639,1.001362742,9400
58654,68.2442235,0.497286631,67.26587586,67.90736696,68.24281495,68.5787411,69.2302279,1.001372569,9300
58638,68.20039137,0.497153571,67.22626851,67.86429115,68.1993528,68.53489855,69.18634505,1.00137409,9200
58621,68.15369358,0.497042515,67.18015847,67.81771371,68.1520558,68.4887533,69.13930752,1.001366571,9400
58605,68.10989058,0.497103816,67.13663776,67.77434442,68.10798638,68.44408015,69.09705953,1.001368506,9300
58589,68.06603634,0.497179085,67.09121793,67.72970031,68.06425361,68.39977975,69.05248216,1.001377653,9200
58571,68.01685025,0.497348006,67.03948292,67.67985344,68.01523222,68.35123925,69.00477088,1.001367378,9300
58553,67.96758383,0.497264355,66.99059031,67.63064055,67.96495303,68.30162396,68.95622244,1.001374215,9200
58534,67.91543758,0.49714599,66.94231063,67.57863896,67.91470943,68.24939969,68.90223617,1.00136242,9400
58516,67.86625026,0.497174279,66.89179411,67.53071067,67.86378689,68.20105304,68.85126647,1.001377988,9200
58497,67.81395954,0.497192708,66.83952557,67.47853885,67.81349847,68.14817867,68.80082473,1.001365819,9400
58479,67.76474298,0.497250583,66.79076549,67.42847875,67.76321261,68.09995122,68.7503907,1.001366297,9400
58460,67.71271285,0.497180918,66.73587123,67.37635521,67.71131204,68.04771838,68.69630413,1.001365499,9400
58441,67.6605463,0.497185636,66.68445742,67.32422355,67.65950867,67.99629516,68.64996926,1.001381417,9100
58421,67.60572045,0.497225767,66.62685659,67.26865617,67.60534934,67.94103256,68.59182556,1.001360033,9500
58402,67.55380561,0.49726036,66.57576555,67.21825385,67.55296741,67.88832307,68.54185678,1.001364954,9400
58383,67.50168086,0.497271753,66.52588659,67.16551896,67.50071414,67.83627201,68.48649724,1.00136529,9400
58363,67.44694295,0.497183864,66.4708337,67.11048592,67.44579038,67.78134564,68.43368804,1.001366377,9400
58344,67.39470718,0.497296066,66.416267,67.05777717,67.39389463,67.72876958,68.38045306,1.001373262,9200
58328,67.35101994,0.497239089,66.37131944,67.01529371,67.35086424,67.68667217,68.33866007,1.001374592,9200
58324,67.34007012,0.497232317,66.36318888,67.00317775,67.3392205,67.67590538,68.32455978,1.001375436,9200
58309,67.29883085,0.497202753,66.31990688,66.96211732,67.29840032,67.63423997,68.28617875,1.001367339,9300
58305,67.28785509,0.497169054,66.31281065,66.95197221,67.28637801,67.62345275,68.27606631,1.001375302,9200
58288,67.24139944,0.497159534,66.26516217,66.90491631,67.24080168,67.57536349,68.22777373,1.001377362,9200
58286,67.23582636,0.497175903,66.25884368,66.90033949,67.23525903,67.56938104,68.22331006,1.001377539,9200
58283,67.22750436,0.497161852,66.25508739,66.89107168,67.22639345,67.56146529,68.21338832,1.001375614,9200
58279,67.21672601,0.497252602,66.24114608,66.88066254,67.21417681,67.5510518,68.205741,1.001377072,9200
58268,67.18660075,0.497167472,66.2086965,66.8495406,67.18550561,67.5227135,68.17437008,1.001376474,9200
58266,67.18102789,0.497184115,66.20321173,66.84455003,67.17983297,67.51608597,68.16823354,1.001376571,9200
58257,67.15650111,0.497382433,66.17922092,66.81992174,67.15573361,67.49194025,68.14372743,1.001372426,9300
58249,67.13465503,0.497262409,66.15695579,66.79787092,67.13356255,67.46934484,68.11897848,1.001371464,9300
58248,67.13186676,0.497243723,66.15267482,66.79537739,67.12992484,67.46542737,68.11611814,1.001370595,9300
58247,67.12922653,0.497321102,66.15196136,66.7928169,67.12718866,67.46209925,68.11631368,1.001368055,9300
58240,67.10991511,0.497410971,66.1319089,66.77423603,67.10866959,67.44395329,68.09662659,1.001374905,9200
58235,67.09618883,0.497342005,66.12025188,66.76055778,67.09490349,67.42983804,68.08294947,1.001371819,9300
58229,67.07975741,0.497281559,66.10358407,66.7442671,67.07817304,67.41506467,68.06620689,1.00137551,9200
58228,67.07700045,0.497319982,66.10125095,66.74125996,67.07592406,67.41212887,68.06189158,1.001378397,9200
58224,67.06605553,0.497295101,66.08785504,66.72976209,67.06530826,67.40140418,68.05140311,1.001376872,9200
58218,67.04962067,0.497313435,66.073025,66.71387518,67.04735913,67.38480097,68.03621273,1.001381902,9100
58210,67.02769889,0.497356247,66.04904559,66.6917585,67.02643011,67.36310937,68.01680562,1.0013685,9300
58208,67.02220249,0.497342554,66.04323528,66.68563305,67.02080087,67.35862688,68.01001348,1.001376064,9200
58202,67.00584396,0.497242061,66.02727958,66.66950289,67.00415606,67.34086726,67.99449697,1.001366699,9400
58197,66.99223736,0.497287212,66.01576942,66.65629846,66.99141119,67.32766343,67.97965035,1.001370562,9300
58192,66.97854466,0.497195856,66.00277577,66.64230821,66.9774197,67.3129338,67.96298679,1.001360134,9500
58191,66.97585629,0.497215743,66.00010987,66.64013589,66.97455912,67.30967513,67.9624309,1.001361344,9500
58189,66.97037588,0.497135672,65.99289485,66.63416567,66.96856848,67.30546273,67.95658732,1.001359992,9500
58179,66.94275573,0.497254458,65.96594966,66.60854128,66.94138778,67.27765235,67.93126896,1.001359265,9500
58173,66.9263554,0.49726867,65.94995804,66.59031733,66.92505265,67.26215737,67.91445123,1.001362267,9400
58171,66.92074923,0.497272663,65.94399526,66.58459056,66.9189042,67.25663736,67.90768654,1.001361609,9400
58169,66.91524866,0.497116462,65.93779095,66.57906487,66.91306552,67.25085715,67.89975168,1.001361962,9400
58162,66.89614218,0.497328077,65.92002575,66.56069255,66.89395467,67.23088468,67.88326829,1.001357087,9500
58154,66.87434142,0.497305824,65.89833303,66.53845036,66.87323507,67.20851694,67.86076885,1.001365918,9400
58153,66.87154142,0.497285738,65.89869128,66.5361683,66.87058447,67.20602719,67.85815758,1.001368162,9300
58150,66.86327757,0.49731565,65.88975484,66.526735,66.86187062,67.19753137,67.85089192,1.001371116,9300
58149,66.86046894,0.497278159,65.88679091,66.5235471,66.85900074,67.19489383,67.8493485,1.001370227,9300
58136,66.82490094,0.497243071,65.84857473,66.48983732,66.82369211,67.16016012,67.81047029,1.001375688,9200
58133,66.81666579,0.497439154,65.83806388,66.48112157,66.81574238,67.15108585,67.80268335,1.001380218,9100
58131,66.81120046,0.497292518,65.83517022,66.47567199,66.81024435,67.14626433,67.79688682,1.001377459,9200
58128,66.803012,0.4972984,65.82363622,66.46709899,66.80319255,67.13799206,67.78941446,1.001368213,9300
58119,66.77832224,0.497224234,65.80152282,66.44328687,66.77751406,67.11285033,67.76386469,1.001377441,9200
58116,66.77019121,0.497281753,65.79437635,66.43498723,66.76926153,67.10482589,67.75553847,1.001376518,9200
58113,66.76201941,0.49713189,65.78494482,66.42763544,66.76098088,67.09782339,67.74706083,1.001370446,9300
58112,66.75929408,0.497178909,65.78265255,66.42433085,66.75799891,67.09453949,67.74736702,1.001371404,9300
58110,66.75381454,0.497230061,65.77658887,66.41888442,66.75346282,67.08798159,67.73789246,1.001369936,9300
58102,66.731715,0.497096386,65.75575783,66.39658751,66.73025498,67.06674983,67.71601961,1.00137851,9200
58101,66.7289662,0.49709702,65.75193093,66.39337739,66.72808287,67.0639941,67.71390918,1.001372442,9300
58099,66.72345955,0.497030671,65.74640759,66.38837449,66.72196206,67.0582104,67.71022101,1.001374864,9200
58096,66.71527906,0.49702746,65.7404732,66.37940417,66.71375016,67.04974002,67.69913235,1.001371508,9300
58091,66.70160446,0.497139722,65.72760459,66.36639807,66.70039917,67.03630788,67.6873447,1.001361764,9400
58086,66.68780081,0.497300428,65.7113919,66.35205091,66.68646583,67.0230442,67.67551391,1.001371325,9300
58081,66.67409835,0.497385414,65.69788152,66.33918665,66.67359064,67.00749508,67.66064045,1.001372809,9300
58074,66.6550078,0.497336382,65.67840726,66.31857246,66.65388168,66.99037531,67.63831186,1.001372006,9300
58073,66.65226918,0.497349437,65.67548249,66.31631777,66.65104686,66.98830858,67.63510913,1.001372184,9300
58071,66.64679323,0.497301386,65.67150862,66.31094945,66.64620845,66.9821492,67.63362215,1.001367665,9300
58068,66.63862982,0.497247268,65.66307734,66.30345913,66.63739628,66.97455691,67.6244488,1.001369143,9300
58064,66.62766227,0.497234482,65.65106266,66.29367808,66.62666808,66.96248255,67.61517418,1.001369744,9300
58057,66.60838383,0.497143725,65.63381939,66.27245322,66.60774007,66.94340322,67.59438072,1.001377078,9200
58045,66.57548109,0.497279351,65.59877348,66.23893651,66.57465272,66.91006961,67.56422344,1.001375788,9200
58043,66.56991639,0.497245052,65.59322105,66.23401182,66.56932829,66.90578587,67.55673619,1.001373478,9200
58029,66.53158378,0.497135978,65.55509203,66.19619465,66.53067093,66.86683681,67.51813886,1.001366163,9400
58015,66.49326522,0.497205415,65.51655249,66.15713137,66.49278286,66.82918824,67.48017,1.001359824,9500
58001,66.4548995,0.497299958,65.47448178,66.1180527,66.45360322,66.79078119,67.44105474,1.001365861,9400
57990,66.42491603,0.497266327,65.44784717,66.08920864,66.4231647,66.76190287,67.41219168,1.001367504,9300
57987,66.4166569,0.49721089,65.44025582,66.08078079,66.41499843,66.75132472,67.40419828,1.001373966,9200
57976,66.38645456,0.49725218,65.40971079,66.05094221,66.38501506,66.72124194,67.37649606,1.001367927,9300
57973,66.37822821,0.497264648,65.40111508,66.04198369,66.37664317,66.71216154,67.36583467,1.001370275,9300
57962,66.34812682,0.497179973,65.37060314,66.01370107,66.34723991,66.68356803,67.33377795,1.001376187,9200
57959,66.33987374,0.49719548,65.36239,66.00528678,66.33862346,66.67414826,67.32557809,1.001370529,9300
57945,66.30151714,0.497265323,65.32261744,65.96527157,66.30075947,66.63643927,67.29029502,1.001369166,9300
57931,66.26318422,0.497305915,65.28717605,65.92774017,66.26222543,66.59766542,67.25022727,1.001373968,9200
57917,66.22472028,0.497348879,65.24900684,65.88834948,66.22450546,66.56008384,67.21007769,1.001374477,9200
57903,66.18635687,0.497215959,65.21055235,65.84975077,66.18538524,66.52056994,67.17220274,1.001364482,9400
57876,66.11247993,0.497083961,65.13944422,65.77721713,66.11149752,66.44682442,67.0980975,1.001366779,9400
57862,66.0740618,0.497221533,65.09641574,65.73734679,66.07243771,66.40911694,67.06030035,1.001367274,9300
57851,66.04394695,0.497131223,65.06678654,65.70775871,66.04283559,66.37915937,67.0297539,1.001377059,9200
57848,66.03579009,0.497207308,65.06111981,65.70020595,66.03407278,66.37081322,67.02211774,1.001375957,9200
57834,65.99741612,0.497196837,65.01950807,65.66232551,65.99630988,66.33297795,66.98649588,1.001372239,9300
57820,65.95902689,0.497166262,64.98383587,65.62440369,65.95825838,66.29371256,66.9466091,1.001364156,9400
57806,65.92075053,0.49728256,64.94252581,65.58459463,65.91999439,66.25607949,66.90715779,1.001370309,9300
57792,65.88235565,0.497156608,64.90459571,65.54541262,65.88182664,66.21698701,66.86627875,1.001375234,9200
