age (ka; for time dependent parameters) ,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
58776,7.74389924,0.006035133,7.727366774,7.741522955,7.745731179,7.748222726,7.749841887,1.001054718,22000
58759,7.751985998,0.023539233,7.705579507,7.736146851,7.752036422,7.767964248,7.798006265,1.001055144,22000
58741,7.760484443,0.031665508,7.697741137,7.739191268,7.760763444,7.781824343,7.821538401,1.001344303,9800
58724,7.768152138,0.035925138,7.6980584,7.743701101,7.768187186,7.792449999,7.838499952,1.001272741,11000
58706,7.776149589,0.03817659,7.701067627,7.750351788,7.776020675,7.802017274,7.850957878,1.001236617,12000
58688,7.784626832,0.038978603,7.708333458,7.758489911,7.784764054,7.810632321,7.860876723,1.00147639,7800
58671,7.792390206,0.038072296,7.717817873,7.766756302,7.792414678,7.81816628,7.867412924,1.001922128,4600
58654,7.800364021,0.036010785,7.729178322,7.776106558,7.80040925,7.824447622,7.870621138,1.002339014,3300
58638,7.808115759,0.03214163,7.745110241,7.786487293,7.808283725,7.82991884,7.870793742,1.003132294,2200
58621,7.816289559,0.025512907,7.765394046,7.799144046,7.816540389,7.833754193,7.865950593,1.005029462,1200
58605,7.806446851,0.032955986,7.741609934,7.784314242,7.806445846,7.828764308,7.870493138,1.003028502,2300
58589,7.796346755,0.037733367,7.722242168,7.771054789,7.796263636,7.821905397,7.87051249,1.002802359,2500
58571,7.785025692,0.041536446,7.703599412,7.756888861,7.784927159,7.813455052,7.865906649,1.002489047,3000
58553,7.773774491,0.043960666,7.687541598,7.744088615,7.773675106,7.80364755,7.859783446,1.002446187,3100
58534,7.761935782,0.044935917,7.673833978,7.731723475,7.761962804,7.792677292,7.849277135,1.00290402,2400
58516,7.751082513,0.044428206,7.663200298,7.721399791,7.751485829,7.781258395,7.837065024,1.003277532,2100
58497,7.739332956,0.042644236,7.65518195,7.710948421,7.739235164,7.768244604,7.821928141,1.003329353,2000
58479,7.728364318,0.039763897,7.650164315,7.7015808,7.728476693,7.75529514,7.805859477,1.003630705,1800
58460,7.716578882,0.034636607,7.647962599,7.693643932,7.716868408,7.739856347,7.784379813,1.004672326,1300
58441,7.704748313,0.026371704,7.651864664,7.687248415,7.705329236,7.722458184,7.755430574,1.006819413,840
58421,7.711879892,0.034476532,7.64398775,7.688622851,7.712347567,7.735468707,7.779000494,1.004326664,1400
58402,7.71863225,0.03910862,7.641451388,7.692587618,7.718792213,7.744676012,7.794991059,1.003550076,1800
58383,7.724792615,0.041278784,7.642596149,7.697174416,7.725180509,7.752554422,7.805858015,1.003157253,2200
58363,7.731667191,0.041938403,7.648826633,7.703614685,7.731988053,7.759945279,7.813753623,1.003022401,2300
58344,7.738088289,0.041097385,7.657750694,7.710665401,7.738495617,7.7655323,7.818791628,1.003079117,2200
58328,7.743405529,0.038920204,7.666408489,7.717217794,7.743653854,7.769582063,7.818706498,1.003110195,2200
58324,7.744856426,0.038145534,7.670322418,7.719086273,7.745253748,7.770504192,7.818902841,1.003219467,2100
58309,7.749815931,0.034259273,7.682203642,7.726802457,7.749937858,7.772984214,7.816770498,1.004217642,1500
58305,7.751230895,0.033017446,7.685858205,7.729269316,7.751505588,7.7734343,7.815339149,1.004577249,1300
58288,7.757130007,0.025542165,7.705989142,7.740038956,7.757518666,7.774338331,7.806620717,1.007225579,790
58286,7.757746467,0.024212843,7.709134235,7.741711649,7.758162044,7.774003774,7.804617532,1.008208835,680
58283,7.757817321,0.025960842,7.706200956,7.740437573,7.758068955,7.775348855,7.808380473,1.007314461,780
58279,7.757962804,0.027965059,7.702911509,7.739225475,7.758051572,7.776698403,7.812679678,1.006572039,880
58268,7.758201755,0.032546488,7.693850558,7.736230905,7.758269749,7.780064765,7.821859415,1.005742682,1000
58266,7.758244362,0.033231427,7.692755857,7.735992355,7.75839746,7.780565139,7.823490688,1.005709771,1000
58257,7.758466088,0.035876198,7.688083114,7.73444917,7.758640998,7.782591793,7.828868909,1.005294111,1100
58249,7.75871072,0.037833952,7.685035408,7.733291889,7.758739859,7.783886188,7.834296543,1.005182929,1200
58248,7.758735257,0.038040757,7.684442894,7.733278149,7.758718575,7.784169744,7.834030274,1.00532071,1100
58247,7.758774269,0.038258433,7.684009323,7.733053551,7.758554276,7.784311523,7.834715978,1.005410386,1100
58240,7.758971377,0.039692735,7.681593679,7.73214957,7.758850676,7.785702178,7.83733824,1.005174091,1200
58235,7.758955872,0.040385043,7.680716531,7.731742505,7.758704548,7.786072362,7.839323792,1.005208875,1100
58229,7.75902941,0.04105143,7.678367907,7.731438273,7.758899702,7.786408151,7.839895351,1.00513377,1200
58228,7.759119302,0.041172273,7.678154341,7.731461887,7.758967636,7.786660235,7.840018809,1.005109062,1200
58224,7.759174833,0.041474922,7.677701834,7.731179611,7.759035562,7.786989163,7.84064428,1.005194156,1200
