age (ka; for time dependent parameters) ,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
58153,0.002032356,0.000102754,0.001830813,0.001962185,0.002032347,0.002103891,0.002231046,1.001079955,20000
58150,0.002032061,0.000104342,0.001826269,0.001959692,0.002032361,0.002104109,0.00223638,1.001154891,15000
58149,0.002031742,0.000103866,0.001825575,0.001960106,0.002031478,0.002103343,0.002234388,1.001035974,24000
58136,0.00203284,0.000103621,0.001827848,0.001961761,0.00203344,0.002104818,0.002234531,1.000965635,27000
58133,0.002031672,0.000103259,0.001827952,0.001961086,0.002031699,0.002102925,0.002234447,1.001072315,21000
58131,0.002031981,0.000103026,0.001829808,0.001961272,0.002031971,0.002103288,0.00223211,1.000922776,27000
58128,0.002032448,0.000104155,0.001826933,0.001960967,0.002033051,0.002104094,0.002234535,1.000960714,27000
58119,0.002033528,0.000104291,0.00182628,0.001962635,0.002034235,0.002105382,0.002236932,1.000936743,27000
58116,0.002031315,0.000103173,0.001828024,0.001959695,0.002031403,0.002102379,0.002234421,1.000879589,27000
58113,0.002031137,0.000104004,0.001827707,0.001959941,0.002031198,0.002102365,0.002235306,1.000887053,27000
58112,0.002032525,0.0001032,0.001831214,0.001961778,0.002032258,0.002103135,0.002235773,1.000964854,27000
58110,0.0020316,0.000105029,0.001825366,0.001959614,0.002031685,0.002103639,0.002240506,1.001021669,26000
58102,0.002031628,0.000103957,0.001827204,0.001960798,0.002031229,0.002102502,0.002240014,1.000899186,27000
58101,0.00203128,0.000104148,0.001826282,0.001959455,0.002032013,0.002103344,0.002233246,1.001062083,22000
58099,0.002032794,0.000103153,0.001829564,0.001962973,0.002032948,0.002103088,0.002235942,1.0011442,16000
58096,0.002032472,0.000103746,0.001828509,0.001961586,0.002033096,0.002104218,0.002234979,1.001050421,23000
58091,0.002032342,0.000104019,0.001828959,0.001961222,0.002032286,0.002103476,0.002236457,1.00097565,27000
58086,0.002033545,0.000104011,0.001830558,0.001962386,0.00203355,0.002105088,0.002235369,1.001083172,20000
58081,0.002031643,0.000103734,0.00182919,0.001960063,0.002032753,0.002102634,0.002236232,1.000996624,27000
58074,0.002032484,0.000103945,0.00182875,0.001961146,0.002032277,0.002103718,0.002235816,1.001056227,22000
58073,0.00203178,0.000104084,0.001827353,0.001959922,0.002031997,0.002102981,0.002236555,1.000961209,27000
58071,0.002033347,0.0001035,0.001829822,0.001962474,0.002033319,0.002104521,0.002236024,1.001105001,18000
58068,0.00203305,0.000103593,0.001830783,0.001961543,0.002033882,0.002104875,0.002236252,1.001020601,26000
58064,0.002030677,0.000104475,0.001826504,0.001958376,0.002031549,0.002102492,0.00223509,1.00110211,19000
58057,0.002031508,0.000103893,0.001826433,0.001959536,0.002031878,0.002102986,0.002234976,1.00111011,18000
58045,0.002031305,0.000104666,0.001829088,0.001958293,0.002030292,0.002102422,0.002238663,1.000979785,27000
58043,0.002033312,0.000103197,0.001829153,0.001963067,0.002033325,0.002103139,0.002236725,1.000957526,27000
58029,0.002033053,0.000103594,0.001827066,0.001962293,0.002032637,0.002103665,0.00223658,1.001026327,26000
58015,0.002032236,0.000103964,0.001828128,0.001959997,0.002032221,0.00210454,0.002233202,1.001055762,22000
58001,0.002034165,0.000104169,0.001830014,0.001963006,0.002033836,0.002104396,0.002240317,1.001068237,21000
57990,0.002033178,0.000103369,0.001834294,0.00196189,0.002032321,0.002104123,0.00223845,1.001162315,15000
57987,0.002033926,0.000104703,0.001827614,0.001962086,0.002034058,0.002105755,0.002238189,1.001001294,27000
57976,0.002033023,0.000103098,0.001830948,0.001961974,0.002033246,0.002103698,0.002233887,1.001243294,12000
57973,0.002033032,0.000103951,0.001830198,0.001961805,0.002032837,0.002104398,0.002237784,1.000950747,27000
57962,0.002034265,0.000103896,0.00183107,0.001962522,0.002033696,0.002105549,0.00223966,1.001071123,21000
57959,0.002034495,0.000103746,0.001829537,0.001962819,0.002035049,0.002105569,0.002236335,1.000981781,27000
57945,0.002034362,0.000103107,0.001831101,0.001963995,0.002034143,0.002104583,0.002238109,1.000978686,27000
57931,0.00203354,0.000104004,0.001827976,0.001962479,0.00203352,0.002105205,0.002236968,1.001149596,16000
57917,0.002033836,0.00010361,0.001829401,0.001962921,0.002034241,0.002104371,0.002236856,1.00096166,27000
57903,0.002033764,0.000103472,0.001830284,0.001962704,0.002033583,0.00210405,0.002239051,1.001073349,21000
57876,0.002034168,0.000103579,0.001829412,0.001964352,0.002034277,0.002105106,0.002236777,1.000939663,27000
57862,0.002034477,0.000103603,0.001830935,0.001964402,0.00203436,0.002106137,0.002238222,1.00104047,24000
57851,0.002035026,0.00010389,0.001831855,0.001963728,0.002034412,0.002105668,0.00223951,1.001089603,19000
57848,0.002034898,0.000104331,0.001830644,0.001963555,0.002034642,0.002106474,0.002242345,1.000988849,27000
57834,0.002033915,0.000103875,0.00183041,0.001962471,0.002034141,0.002104823,0.00223836,1.001039475,24000
57820,0.002035041,0.000104082,0.001830214,0.001963489,0.002035313,0.002105899,0.002238522,1.00096078,27000
57806,0.002035806,0.000104027,0.001829543,0.001964514,0.0020359,0.002107053,0.002239802,1.001058329,22000
57792,0.002035193,0.000104577,0.001827935,0.00196357,0.002035557,0.002107124,0.002240676,1.000922725,27000
57778,0.002034638,0.000103069,0.001832066,0.001963672,0.002034656,0.002105364,0.002235242,1.000893243,27000
57764,0.002036535,0.000104143,0.001831601,0.001964955,0.002036159,0.002108181,0.002241602,1.001028968,25000
57750,0.002035074,0.0001038,0.001830331,0.001964589,0.002035784,0.002106005,0.002235027,1.000931137,27000
57736,0.002035112,0.000103497,0.001832013,0.001964486,0.002034948,0.002106102,0.002237012,1.001009625,27000
57722,0.002036014,0.000103389,0.001834425,0.001964693,0.002035981,0.002106373,0.002239147,1.000941916,27000
57708,0.002035738,0.000103413,0.001831412,0.001964614,0.002035531,0.002107646,0.002237632,1.000929435,27000
57700,0.002036767,0.000104115,0.00183185,0.001966035,0.002036093,0.002108273,0.002241075,1.001182597,14000
57687,0.002036757,0.000103506,0.00183442,0.001965872,0.002035991,0.002107466,0.00224242,1.000954238,27000
57673,0.002035322,0.000103461,0.001831268,0.00196455,0.002034908,0.002106368,0.002239458,1.001006482,27000
57659,0.002036958,0.000104285,0.001831805,0.001966166,0.002037177,0.002108609,0.002241931,1.001091018,19000
57645,0.002036612,0.000104387,0.001829684,0.001965826,0.002036979,0.002108103,0.002243876,1.000934451,27000
57632,0.002036958,0.000103815,0.001834668,0.001966035,0.002037105,0.002107747,0.002241166,1.000960221,27000
57619,0.002037091,0.000103577,0.00183368,0.001966022,0.002036997,0.002107434,0.002242308,1.001120509,17000
57606,0.002037615,0.000103949,0.001833252,0.001966803,0.00203711,0.002108296,0.00224299,1.000927302,27000
57593,0.00203723,0.000103554,0.001834798,0.001966643,0.002038126,0.00210787,0.002240219,1.001061336,22000
57580,0.00203746,0.000103916,0.001833636,0.001966721,0.002036962,0.002107643,0.002240948,1.000969511,27000
57566,0.002037802,0.000104166,0.001833563,0.001966646,0.002037465,0.002108968,0.002243428,1.000961052,27000
57553,0.002037329,0.000104299,0.001831108,0.001966091,0.002037018,0.002108415,0.002241964,1.001022147,26000
57540,0.002038173,0.000103616,0.001832508,0.001966846,0.002037773,0.002108129,0.002241038,1.001305053,11000
57527,0.002038239,0.000103536,0.001834759,0.001966793,0.002038777,0.002109471,0.002239551,1.000966344,27000
57514,0.002037263,0.000103416,0.001834903,0.001966687,0.002037507,0.00210818,0.002240371,1.001000366,27000
57500,0.002038447,0.000102705,0.001837307,0.001967715,0.002037824,0.002109025,0.002240767,1.00097877,27000
57487,0.002038892,0.000103427,0.001834921,0.001967941,0.002039275,0.002110032,0.002243009,1.000908561,27000
57478,0.002039265,0.00010382,0.001835852,0.00196792,0.002039996,0.002109724,0.002244281,1.001097238,19000
57474,0.002038075,0.000103805,0.001833416,0.001967206,0.002038138,0.002108886,0.002241446,1.001181794,14000
57461,0.00203766,0.000104201,0.001833234,0.001965653,0.002038381,0.002109752,0.002239728,1.00086929,27000
57448,0.00203965,0.000103833,0.001836891,0.001967935,0.002039755,0.002110859,0.002244696,1.001012049,27000
57435,0.002039268,0.000103735,0.00183489,0.001967923,0.002039408,0.002110856,0.002242644,1.000955659,27000
57421,0.00203985,0.000103423,0.001835269,0.001969065,0.002040605,0.00211053,0.002243424,1.000934378,27000
57408,0.002038408,0.00010334,0.00183718,0.001967467,0.002037327,0.002109516,0.002241961,1.001003758,27000
57395,0.00203992,0.000103718,0.001836685,0.001968925,0.002040403,0.00211007,0.002245403,1.000983542,27000
57382,0.002038137,0.000103651,0.001833994,0.001967624,0.002038546,0.002108782,0.002242904,1.000939269,27000
57371,0.00204057,0.000103032,0.001836241,0.001970464,0.00204138,0.002110758,0.002240675,1.001031653,25000
57369,0.002040473,0.000103042,0.001836824,0.001969403,0.00204011,0.002111277,0.002241857,1.00113698,16000
57354,0.002039272,0.000103562,0.001835775,0.00196802,0.002039631,0.002109886,0.002243509,1.000981073,27000
57338,0.002039621,0.000104222,0.00183453,0.001968677,0.002039483,0.002110623,0.002243288,1.000931978,27000
57322,0.00204099,0.000103696,0.001836278,0.001969591,0.002040879,0.002112688,0.002243425,1.001219259,13000
57306,0.002040231,0.00010332,0.001834693,0.001969806,0.002040471,0.002111231,0.00224295,1.00108086,20000
57290,0.002039334,0.000103141,0.0018363,0.001968331,0.002039755,0.002110401,0.002242369,1.000986148,27000
57275,0.002040984,0.000103989,0.001837893,0.001969601,0.002040585,0.002112592,0.002244133,1.000990686,27000
57259,0.00204023,0.000103391,0.001837191,0.001969436,0.002040289,0.002110391,0.0022446,1.00102525,26000
57243,0.002041657,0.000103807,0.001836976,0.001970534,0.002042061,0.00211297,0.002246857,1.000967926,27000
57226,0.002041017,0.000103751,0.001837665,0.001970217,0.002041093,0.002111215,0.002245656,1.000981882,27000
57214,0.002041672,0.00010361,0.001838128,0.001970998,0.002041733,0.002112748,0.002245386,1.001010101,27000
57209,0.002040761,0.000104248,0.001834951,0.001969639,0.002040822,0.002112313,0.002245561,1.001186649,14000
57192,0.002041916,0.000104039,0.001836919,0.001971244,0.002041765,0.002112957,0.002246423,1.000985428,27000
57175,0.002042149,0.000103635,0.001838571,0.001970976,0.002041184,0.002113039,0.002246597,1.001019267,27000
57158,0.002042921,0.000104417,0.001839582,0.0019712,0.002042906,0.002113902,0.002248071,1.000931157,27000
57141,0.002042217,0.00010303,0.001842592,0.001971969,0.002040502,0.002112555,0.002246616,1.001256866,12000
57125,0.002042686,0.000103402,0.001839074,0.001972308,0.002042514,0.002112987,0.002246485,1.00112575,17000
57108,0.002042354,0.000103998,0.00183841,0.001970465,0.002042683,0.002113647,0.0022459,1.001049412,23000
57091,0.002043171,0.000103623,0.001837985,0.001972737,0.002042547,0.002114351,0.002246587,1.001007129,27000
57074,0.002042266,0.000103775,0.001835998,0.001971191,0.002042902,0.002113139,0.002247369,1.00095476,27000
57057,0.002044615,0.00010308,0.001843227,0.001973489,0.002044441,0.002116101,0.002248314,1.001104629,18000
56953,0.002045216,0.000103736,0.001839902,0.001974136,0.002045182,0.002115631,0.00224848,1.000972702,27000
56941,0.002044768,0.000104814,0.001839734,0.001973063,0.002043679,0.00211684,0.002251913,1.000935876,27000
56929,0.00204519,0.000104326,0.001841672,0.001973341,0.002045105,0.002117045,0.002248662,1.001104697,18000
56917,0.002044001,0.000104298,0.001838756,0.001972272,0.002043284,0.002115764,0.002249619,1.000982749,27000
56905,0.002045101,0.000103991,0.001838395,0.001974344,0.002045788,0.002116536,0.002248761,1.000965556,27000
56893,0.00204377,0.000104107,0.00184021,0.001972192,0.002043314,0.002115005,0.002248025,1.001001515,27000
56880,0.002045203,0.000103665,0.001841443,0.001974459,0.00204598,0.002116879,0.002246896,1.000938184,27000
56868,0.002045047,0.000103577,0.001843163,0.001974597,0.002045002,0.002115484,0.002249462,1.001329553,10000
56856,0.002045301,0.000103912,0.001842282,0.00197338,0.002045146,0.002116977,0.00224883,1.000956,27000
56821,0.002045019,0.000103749,0.001842205,0.001974161,0.002044458,0.002115464,0.002249543,1.000937195,27000
56786,0.002045598,0.00010372,0.001840944,0.001974225,0.00204563,0.002116552,0.002249384,1.000979535,27000
56752,0.002046543,0.000104145,0.001841886,0.001975144,0.002046968,0.002117826,0.002249465,1.00097998,27000
56718,0.002046989,0.000103174,0.001843359,0.00197705,0.002046985,0.002118123,0.00225103,1.000994658,27000
56686,0.002047063,0.000103808,0.001844466,0.001976125,0.002046729,0.00211836,0.002250944,1.000981569,27000
56621,0.002048232,0.000103033,0.001848382,0.001976938,0.002048165,0.002119529,0.002250685,1.001083873,20000
56601,0.002048161,0.000104519,0.001842103,0.001977533,0.00204802,0.002119886,0.002254762,1.001071853,21000
56588,0.002049521,0.000103766,0.001843789,0.001978015,0.002049983,0.00212149,0.002252144,1.000966598,27000
56555,0.00204854,0.000104317,0.001841651,0.001977471,0.002049018,0.002119419,0.002253973,1.001270215,11000
56360,0.002050318,0.000103657,0.001846898,0.00197918,0.002050743,0.002121413,0.002254494,1.000912606,27000
56262,0.002051586,0.000104904,0.001846086,0.001979743,0.002051256,0.002123881,0.002259883,1.001015989,27000
56197,0.002051751,0.000103658,0.00184798,0.001981502,0.002051078,0.002122252,0.002258332,1.001005169,27000
56138,0.002052099,0.000104023,0.001849333,0.00198035,0.002052078,0.002123955,0.002256988,1.000881821,27000
56120,0.002053276,0.000103819,0.001847991,0.001982267,0.002053622,0.002124546,0.002256419,1.000951192,27000
56119,0.00205353,0.000104737,0.001848984,0.001980945,0.002053046,0.002124904,0.002261431,1.001068086,21000
56109,0.00205218,0.000104537,0.001846654,0.001979311,0.002051687,0.00212389,0.002257292,1.001018966,27000
56099,0.002052768,0.000104006,0.001847956,0.00198113,0.002052095,0.002124451,0.002255796,1.00108154,20000
56098,0.002052631,0.000103727,0.001847974,0.001982449,0.002052417,0.002122884,0.002258568,1.001106927,18000
56086,0.002053833,0.000103494,0.001850727,0.001983254,0.002054077,0.002125167,0.002254554,1.000931443,27000
56079,0.002053546,0.000104216,0.001849518,0.001982466,0.002053949,0.002124624,0.00225805,1.001116147,18000
56075,0.002053245,0.000104425,0.001847583,0.001981823,0.002052339,0.002124908,0.002258668,1.000994455,27000
56064,0.002053519,0.000104161,0.001849734,0.001982161,0.00205298,0.002125465,0.002257865,1.001051492,23000
56060,0.002053326,0.000104244,0.001848865,0.001981032,0.002053373,0.002125346,0.002257026,1.001090398,19000
56052,0.002054624,0.000103699,0.001851505,0.001983325,0.002054673,0.002125925,0.002257246,1.001022055,26000
56041,0.002053776,0.000103314,0.001850518,0.001982655,0.002053832,0.002125157,0.002254963,1.000996322,27000
56040,0.002053357,0.000103605,0.001850975,0.001982884,0.002052924,0.002123754,0.002259208,1.001126454,17000
56032,0.00205425,0.000103709,0.00184883,0.001983715,0.002054603,0.002124953,0.002255247,1.001012077,27000
56020,0.002053078,0.000104381,0.001848984,0.001981154,0.00205362,0.002123965,0.002259761,1.001012506,27000
56018,0.002054593,0.000104593,0.00184846,0.001982794,0.002054891,0.002126972,0.002260366,1.000958745,27000
56007,0.002054624,0.000103974,0.001851459,0.001983956,0.002054467,0.002125829,0.002259354,1.000891429,27000
56000,0.002054962,0.000103648,0.001851167,0.001984457,0.002055551,0.002125973,0.002257238,1.000940277,27000
55993,0.002054394,0.000103317,0.001849607,0.001983684,0.00205438,0.002125313,0.002256338,1.000982828,27000
55985,0.002053909,0.000103662,0.001849228,0.001982661,0.002053932,0.002124888,0.002258201,1.001166391,15000
55983,0.002053818,0.000103557,0.001850281,0.00198336,0.002053843,0.002124524,0.00225802,1.001189198,14000
55981,0.002054527,0.000103726,0.001854072,0.001982965,0.002053469,0.002126707,0.002260227,1.000991508,27000
55975,0.002055411,0.000103701,0.00185147,0.00198528,0.002055422,0.002125581,0.002260711,1.000915146,27000
55971,0.002054356,0.000103727,0.001850734,0.001983291,0.002054682,0.002125872,0.002258336,1.001036718,24000
55970,0.002054625,0.00010391,0.001852421,0.001982938,0.002053899,0.002125789,0.002259103,1.001227683,13000
55966,0.002054415,0.000104158,0.001852281,0.001982668,0.002054262,0.002126236,0.002259773,1.001131156,17000
55965,0.002054712,0.000103241,0.001853405,0.001983654,0.002054366,0.002125689,0.002257369,1.001433535,8300
55961,0.002054606,0.000103447,0.00185299,0.001983113,0.002054871,0.002124846,0.002258775,1.001035411,25000
55959,0.002054727,0.000103767,0.00185119,0.001983324,0.002054615,0.002125677,0.002258072,1.001062485,22000
55957,0.002054534,0.000104184,0.001850772,0.00198325,0.00205435,0.002125727,0.002259169,1.001150233,16000
55956,0.002056156,0.000103461,0.001852885,0.001985665,0.002055943,0.002127488,0.002260596,1.001043456,24000
55954,0.002054662,0.00010368,0.001850894,0.001983819,0.002054636,0.002125202,0.002256888,1.000894392,27000
55950,0.002054729,0.000104492,0.001848433,0.001983119,0.002055134,0.002126606,0.002259104,1.001073287,21000
55948,0.002053812,0.000103468,0.001852254,0.0019826,0.002054142,0.002124634,0.002257144,1.000947368,27000
55946,0.002054946,0.000103944,0.001850771,0.001984229,0.002055014,0.002125804,0.002260054,1.000995824,27000
55944,0.002055566,0.000103957,0.001851304,0.001984453,0.002054614,0.002126429,0.002262183,1.000993582,27000
55942,0.002055438,0.000104415,0.001848333,0.001983777,0.002055381,0.002126728,0.002261411,1.001140591,16000
55934,0.002129237,0.000124674,0.001884586,0.002044157,0.002129651,0.002213207,0.002372996,1.000977936,27000
