age (ka; for time dependent parameters) ,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
58776,36.48556345,0.40550705,35.670068,36.21242052,36.49328614,36.7700981,37.24958242,1.013054013,420
58759,36.2982638,0.601836017,35.08658938,35.89789968,36.31482426,36.70712908,37.43346845,1.005866882,1000
58741,36.64770754,0.605851466,35.4271214,36.2497041,36.66091241,37.06308666,37.78906376,1.006529418,880
58724,36.40420929,0.605216621,35.1716195,36.00830786,36.4182909,36.81977784,37.54510628,1.005630951,1000
58706,36.48432348,0.600648691,35.27477331,36.08519587,36.4957378,36.89620437,37.62588066,1.006216958,940
58688,36.49373505,0.443086351,35.59506083,36.20145913,36.50592528,36.79557379,37.33270022,1.010813998,510
58671,36.77895695,0.486897512,35.80435395,36.45582613,36.78369493,37.11599604,37.70508767,1.007666163,740
58654,37.38230173,0.411856425,36.56473102,37.1041482,37.38940362,37.66784411,38.16308281,1.009630245,580
58638,37.44283893,0.415098042,36.61249817,37.16445073,37.45061988,37.72837576,38.2331402,1.00988065,560
58621,36.94321293,0.428038079,36.08376555,36.65724698,36.94790187,37.23952529,37.75508063,1.009601912,580
58605,37.04450504,0.4253024,36.18754163,36.76094776,37.05549084,37.33111441,37.86535232,1.010268858,540
58589,37.12547384,0.481878538,36.17298396,36.8027613,37.13384706,37.45483184,38.04557066,1.009899303,560
58571,36.40834205,0.444051655,35.50984188,36.11145386,36.41880163,36.71358529,37.24737447,1.009310544,600
58553,36.61976455,0.438392211,35.728276,36.33143925,36.62816801,36.92400567,37.44769912,1.010644907,520
58534,37.05246188,0.427923245,36.19821629,36.76861858,37.06303922,37.34938026,37.85524147,1.010326113,530
58516,36.48569874,0.447851749,35.57156125,36.18619048,36.49975448,36.79358467,37.3230962,1.009981597,550
58497,37.16206925,0.431875129,36.29077947,36.87407402,37.17261173,37.46049314,37.98103103,1.010460752,530
58479,36.61553108,0.441994653,35.71811618,36.32300559,36.62801925,36.92014574,37.45073071,1.009842976,560
58460,36.59314433,0.454124852,35.68146641,36.2895807,36.6036493,36.90627755,37.4504679,1.009923001,560
58441,37.14809735,0.438056099,36.26295828,36.8564087,37.15696547,37.44858372,37.98537215,1.010440483,530
58421,36.88462315,0.440815672,36.00059884,36.58997352,36.89339519,37.18956324,37.72137931,1.010203983,540
