age (ka; for time dependent parameters) ,mean,sd,2.50%,25%,50%,75%,97.50%,Rhat,n.eff
58776,14.0008886,0.501218665,13.01290815,13.66789579,13.99864045,14.33488399,14.98553167,1.000991327,27000
58759,14.00094902,0.501314398,13.01215255,13.66751014,13.99861492,14.33548939,14.98479483,1.000991299,27000
58741,14.00078986,0.501465624,13.01097248,13.66848479,13.99904207,14.33543547,14.98785166,1.000988339,27000
58724,14.00085668,0.501331985,13.01028669,13.66818824,13.99976718,14.33490022,14.98716879,1.000994108,27000
58706,14.00087823,0.501339749,13.01247201,13.66809056,13.9995373,14.33453208,14.98748315,1.000993572,27000
58688,14.00088902,0.501372195,13.00886452,13.66732542,13.99929521,14.3356901,14.99050514,1.000991252,27000
58671,14.00080938,0.501524493,13.01235268,13.6678636,13.99959387,14.33367537,14.98730511,1.000989261,27000
58654,14.00093401,0.501415337,13.00781376,13.66764665,13.99890897,14.33654942,14.98672268,1.000993868,27000
58638,14.00084406,0.501456205,13.01290016,13.66831589,13.99876893,14.33559364,14.98953136,1.000986187,27000
58621,14.00095721,0.501536551,13.00848291,13.66784698,13.99803894,14.33457569,14.98721526,1.000990692,27000
58605,14.00091329,0.501460078,13.01167207,13.66818853,13.99923303,14.33576116,14.98653656,1.000987864,27000
58589,14.00103315,0.501504189,13.00921031,13.66701001,13.99789963,14.33514627,14.98548713,1.000986378,27000
58571,14.00103972,0.501563448,13.00743425,13.6669739,13.99962527,14.33658355,14.98740321,1.000994173,27000
58553,14.00116003,0.501541559,13.01154836,13.66806381,13.99858088,14.33642846,14.98857446,1.0009916,27000
58534,14.00097695,0.501487338,13.01007946,13.6674552,13.99882182,14.33537566,14.98871552,1.00098939,27000
58516,14.00106193,0.501420249,13.01111522,13.66756352,13.99870694,14.33541705,14.9876089,1.000985872,27000
58497,14.00090725,0.501509034,13.01203602,13.66833271,13.99912187,14.33585188,14.98815624,1.000989071,27000
58479,14.00097531,0.50161369,13.00996107,13.66790042,13.99978871,14.33565124,14.98927563,1.000988003,27000
58460,14.00089144,0.501634711,13.00800597,13.66750175,13.99803975,14.33464303,14.99048604,1.000989457,27000
58441,14.00071681,0.501641941,13.01094673,13.6668586,13.99904718,14.33577193,14.98580899,1.000992683,27000
58421,14.0009465,0.501522445,13.00907161,13.66593037,13.99963356,14.33516102,14.98827712,1.000995137,27000
58402,14.00102986,0.501438871,13.01045796,13.66766712,13.99892843,14.3348447,14.98548251,1.000990377,27000
58383,14.00095902,0.501601926,13.00992092,13.66725394,13.99931673,14.33463555,14.98879312,1.000991547,27000
58363,14.00094468,0.501431948,13.0118218,13.66732613,13.99896072,14.3348763,14.98812511,1.000998062,27000
58344,14.00088432,0.501587954,13.00896004,13.66819843,13.99937614,14.3351624,14.98663731,1.000991268,27000
58328,14.00083805,0.501509618,13.01216594,13.66697018,13.99874637,14.33451419,14.98765293,1.000992813,27000
58324,14.00087764,0.501534646,13.00958634,13.66708987,13.9987706,14.33475766,14.98742916,1.000999469,27000
58309,14.00086941,0.501611516,13.00723271,13.66778286,13.99920711,14.33432925,14.98483361,1.000988234,27000
58305,14.00080451,0.501680118,13.0086744,13.66745991,13.99950995,14.33453032,14.98504436,1.000992331,27000
58288,14.0010795,0.501540891,13.01222892,13.66737305,13.99870956,14.33562952,14.98885105,1.000988488,27000
58286,14.00101642,0.50157102,13.01163422,13.66849186,13.99859338,14.3362434,14.98707622,1.000994422,27000
58283,14.0008633,0.501605753,13.00999326,13.66751289,13.99720517,14.33508381,14.98725594,1.00099714,27000
58279,14.00101579,0.501622716,13.00983744,13.66713862,13.99975306,14.33578105,14.98574887,1.00099295,27000
58268,14.00083606,0.501475938,13.00824747,13.66703852,13.99839807,14.33479688,14.98662236,1.000995861,27000
58266,14.00087234,0.501439675,13.01043941,13.66787637,13.99809562,14.33463519,14.98463195,1.000998497,27000
58257,14.00087186,0.501355754,13.01110145,13.66781127,13.99811206,14.33361382,14.98595609,1.000996004,27000
58249,14.00093154,0.501483189,13.00957314,13.66605991,13.99765598,14.33523845,14.98711355,1.000999892,27000
58248,14.00092443,0.50152406,13.00978224,13.66630411,13.99876976,14.33596303,14.98604677,1.000996364,27000
58247,14.00094541,0.501728555,13.00866177,13.66617787,13.9983908,14.33518187,14.98741187,1.001000179,27000
58240,14.00094499,0.501525149,13.0116084,13.66681989,13.99915623,14.33548828,14.98918461,1.000996399,27000
58235,14.00090531,0.501460433,13.00939238,13.66810752,13.99889171,14.33650498,14.98550052,1.000992272,27000
58229,14.00115419,0.501420072,13.00945078,13.66722126,13.99907354,14.33548682,14.98434232,1.000999036,27000
58228,14.00109621,0.501374625,13.00979555,13.66647905,13.99916414,14.33600169,14.98629475,1.000996903,27000
58224,14.00094627,0.501331433,13.00870508,13.66679957,13.99944021,14.3369546,14.98421751,1.000995096,27000
58218,14.00091029,0.50142338,13.00990032,13.66716445,13.99972014,14.33584961,14.98497435,1.000993819,27000
58210,14.00094665,0.501510644,13.01025905,13.66755684,13.99911794,14.33581536,14.98613482,1.000991955,27000
58208,14.00096642,0.501537246,13.01141487,13.66752375,13.9995459,14.33591209,14.98931348,1.000991294,27000
58202,14.0010781,0.501397091,13.01049109,13.66802364,13.99835731,14.33453479,14.98639883,1.000990231,27000
58197,14.0009161,0.501432981,13.00876395,13.66815512,13.99931127,14.33643247,14.98563016,1.000991858,27000
58192,14.00088008,0.501465339,13.00863949,13.66776269,13.99841281,14.33648525,14.9873301,1.000990342,27000
58191,14.00085083,0.501425027,13.00892299,13.66818127,13.99875303,14.33612282,14.9878382,1.000988689,27000
58189,14.00085561,0.501475681,13.00986855,13.66777038,13.99882514,14.33511109,14.98608973,1.000988734,27000
58179,14.00099974,0.501395509,13.01075074,13.66756935,13.99914801,14.33566079,14.98571303,1.000991805,27000
58173,14.00085312,0.501455491,13.00702331,13.66560257,13.99915703,14.3350311,14.98766218,1.000990223,27000
58171,14.00086778,0.501444507,13.00710217,13.6665642,13.99838954,14.3341463,14.98589059,1.000990082,27000
58169,14.00074467,0.501535749,13.0084719,13.66724663,13.99793292,14.33471121,14.98461668,1.000992832,27000
58162,14.00071473,0.501334531,13.00887904,13.66687364,13.99848126,14.33506526,14.98550674,1.000993903,27000
58154,14.00088819,0.501436124,13.00789124,13.6675108,13.99965555,14.33530647,14.98749145,1.000993001,27000
58153,14.00100223,0.501498239,13.00844292,13.66710365,13.99976757,14.33483933,14.9864369,1.000993316,27000
58150,14.00091896,0.501467865,13.01015758,13.66784066,13.99798945,14.33391643,14.99011794,1.000993371,27000
58149,14.00084769,0.501521227,13.00933993,13.66769675,13.99949581,14.33366137,14.98903962,1.000990638,27000
58136,14.00085017,0.501438475,13.0122334,13.66750809,13.99909675,14.33542142,14.98756846,1.000993808,27000
58133,14.0008582,0.501480309,13.007178,13.66611143,13.99850296,14.33419719,14.98955055,1.000988829,27000
58131,14.0009294,0.501461107,13.00906902,13.66635373,13.99810073,14.33458056,14.98713838,1.00098741,27000
58128,14.00084686,0.501363945,13.00835038,13.66734594,13.99767376,14.33478611,14.98821151,1.000991205,27000
58119,14.00095405,0.501369758,13.0081802,13.66946261,13.99913566,14.33445003,14.98693182,1.000991522,27000
58116,14.00078544,0.501482831,13.00637945,13.66761124,13.99916817,14.33412906,14.98638384,1.000989477,27000
58113,14.0007479,0.501434715,13.01025687,13.6670301,13.99822966,14.33533655,14.98431422,1.000988544,27000
58112,14.00083197,0.501530918,13.00927708,13.66786911,13.99842148,14.33506676,14.98836868,1.000989972,27000
58110,14.00079654,0.501530908,13.01045359,13.66736242,13.99772336,14.33384396,14.98769066,1.000990923,27000
58102,14.00093489,0.501448523,13.00751507,13.66796569,13.99839136,14.33554549,14.98949742,1.00098748,27000
58101,14.00090317,0.501528593,13.01048978,13.66743411,13.99904258,14.33521373,14.98923227,1.000986703,27000
58099,14.00092209,0.50151874,13.01023336,13.66737845,13.99847674,14.33467634,14.98996183,1.000989887,27000
58096,14.00090412,0.501324248,13.0133309,13.6671178,13.99836431,14.33458253,14.98346502,1.000988185,27000
58091,14.00086764,0.501517579,13.00943615,13.66691204,13.99902829,14.33450962,14.98788516,1.000988976,27000
58086,14.00100056,0.501442538,13.00968901,13.66786391,13.99930675,14.33568186,14.98826797,1.00098521,27000
58081,14.00097308,0.501401368,13.0093884,13.66809978,13.99925919,14.33397582,14.98736433,1.000992034,27000
58074,14.0010678,0.501409018,13.01224779,13.66763923,13.99926124,14.33477189,14.98818766,1.000990045,27000
58073,14.00102735,0.501431486,13.01071996,13.66769348,13.99945919,14.33535775,14.98960778,1.000988522,27000
58071,14.00112927,0.501340342,13.00873547,13.66770731,13.99839544,14.33558267,14.98677141,1.000989684,27000
58068,14.00114317,0.501300275,13.00954674,13.66708868,13.999147,14.33505596,14.98878079,1.000986791,27000
58064,14.00108649,0.501349524,13.00908859,13.66806409,13.99910929,14.33563757,14.98895221,1.000987666,27000
58057,14.00082478,0.501300568,13.00962809,13.66791046,13.99830452,14.33488606,14.98549697,1.000987296,27000
58045,14.00082681,0.501415487,13.00883304,13.6691715,13.99926163,14.3360484,14.98747891,1.000989089,27000
58043,14.00094739,0.501334227,13.01214043,13.66821768,13.99902111,14.33493215,14.986055,1.000987173,27000
58029,14.00096196,0.501341515,13.01368982,13.66852335,13.99735142,14.33553805,14.98634805,1.000986483,27000
58015,14.0009421,0.501439307,13.00958276,13.66831488,13.99822529,14.33509157,14.98638906,1.000989177,27000
58001,14.00091384,0.501492545,13.01210063,13.6661651,13.99798844,14.33519338,14.98894116,1.000991315,27000
57990,14.00084684,0.501425177,13.01245432,13.66716003,13.99936644,14.33644355,14.98932709,1.000990755,27000
57987,14.00089675,0.501320122,13.01075714,13.66753656,13.99902786,14.33563569,14.99047746,1.00098675,27000
57976,14.00109599,0.50138622,13.00855967,13.66841349,13.99928722,14.33593521,14.98831066,1.00099144,27000
57973,14.0010065,0.50150904,13.00861709,13.66644686,13.99939979,14.33563452,14.98940548,1.000996956,27000
57962,14.00089416,0.501451194,13.0101962,13.66722741,13.99909805,14.33551226,14.98803297,1.000989997,27000
57959,14.00098009,0.501318326,13.01455677,13.66780459,13.99891736,14.33555586,14.98770114,1.000992012,27000
57945,14.000851,0.501382377,13.01594055,13.66610693,13.99848034,14.33591582,14.98980587,1.000988986,27000
57931,14.00077778,0.501413897,13.01390344,13.66740876,13.99896428,14.33510177,14.98686554,1.000991809,27000
57917,14.00081871,0.501491659,13.01063641,13.66748289,13.99853667,14.33545795,14.98530062,1.000988455,27000
57903,14.00098855,0.50146147,13.01209246,13.66735319,13.99835559,14.33501057,14.98746711,1.000989441,27000
57876,14.00082566,0.501336729,13.01329557,13.66800208,13.99843456,14.33556532,14.98761165,1.000992153,27000
57862,14.00077963,0.501552266,13.01055687,13.66751208,13.9980699,14.33505348,14.98839889,1.000989356,27000
57851,14.00083831,0.501394281,13.00866592,13.66770069,13.99909103,14.33510478,14.98905829,1.000994268,27000
57848,14.00087089,0.501290538,13.01074167,13.66816863,13.99866955,14.33459245,14.99077358,1.000995965,27000
57834,14.00081248,0.501384553,13.00727033,13.6671558,13.99873355,14.3352122,14.98783344,1.000997561,27000
57820,14.00063588,0.50143163,13.01323779,13.6675548,13.99914129,14.3350244,14.98866387,1.000996655,27000
57806,14.00080645,0.501405373,13.00953016,13.66730137,13.99828147,14.3353444,14.98773872,1.000993436,27000
57792,14.00094435,0.501468099,13.01012169,13.66821481,13.9980386,14.33575791,14.98332962,1.000992022,27000
57778,14.00085695,0.50159168,13.01127403,13.66709974,13.99910742,14.33358092,14.98550586,1.000998831,27000
57764,14.00081111,0.501400002,13.01065007,13.66738682,13.99970008,14.33589412,14.98681595,1.000995874,27000
57750,14.0009165,0.501446387,13.01138396,13.66766815,13.99873433,14.33595432,14.98577891,1.000994573,27000
57736,14.00111946,0.501323869,13.01186936,13.66827436,13.99912666,14.33575739,14.98767912,1.000994343,27000
57722,14.00097628,0.501534795,13.00994575,13.66822865,13.99892318,14.3350825,14.98517272,1.000997503,27000
57708,14.00087761,0.501577735,13.01306112,13.66696957,13.99876432,14.33658486,14.98850887,1.000991249,27000
57700,14.00083853,0.501424753,13.00964655,13.66779533,13.99844207,14.33546265,14.98936203,1.000991701,27000
57687,14.00085694,0.50123642,13.01054854,13.66749471,13.99866242,14.33583018,14.98789288,1.00099144,27000
57673,14.00084695,0.501316363,13.01199189,13.66762627,13.99814173,14.33513508,14.98721983,1.000996905,27000
57659,14.00101875,0.501438739,13.0115859,13.66741934,13.99902455,14.33603569,14.98704374,1.000999146,27000
57645,14.00095458,0.501358675,13.01117082,13.66787635,13.99882907,14.3350048,14.98734834,1.000996735,27000
57632,14.00108994,0.501422773,13.00998326,13.66809101,13.99974952,14.33477986,14.9871638,1.000994199,27000
57619,14.00080998,0.501365326,13.01271326,13.66748595,13.99862745,14.33443755,14.98562495,1.000992956,27000
57606,14.0008758,0.501363865,13.00871321,13.66814324,13.999067,14.33582353,14.98789938,1.000995738,27000
57593,14.00087091,0.501481935,13.00877866,13.66768354,13.99944783,14.3352467,14.98524505,1.000994865,27000
57580,14.00077736,0.501582286,13.00954135,13.66750593,13.99943191,14.33544493,14.98636178,1.000993635,27000
57566,14.00083124,0.501650215,13.01290281,13.66736982,13.99947163,14.33523179,14.98908794,1.000990125,27000
57553,14.00074071,0.501347489,13.01055388,13.66833338,13.99794633,14.3342966,14.98818729,1.000989316,27000
57540,14.00098695,0.501502676,13.01222182,13.66856494,13.99918581,14.33513342,14.98945025,1.000999183,27000
57527,14.00092332,0.501434992,13.01233493,13.66802522,13.99859451,14.33487962,14.98786314,1.000992452,27000
57514,14.00086803,0.501432572,13.01320911,13.66839502,13.99984735,14.33573824,14.98873338,1.00099717,27000
57500,14.00087774,0.501356662,13.0098086,13.66680697,13.99781868,14.33460675,14.98710802,1.000998807,27000
57487,14.00096314,0.501639582,13.00931226,13.66656206,13.99916055,14.33595355,14.98812852,1.000995562,27000
57478,14.00093606,0.501485963,13.00956769,13.66731441,13.99846765,14.33358535,14.98619062,1.000999956,27000
