age,d11B,d11Bse,d18O,MgCa,species
57354,NA,NA,-1.6,3.64,Grub
57338,16.45,0.1,-1.62,3.67,Grub
57322,NA,NA,-1.58,3.39,Grub
57306,NA,NA,-1.57,NA,Grub
57290,NA,NA,-1.21,3.44,Grub
57275,NA,NA,-1.83,3.46,Grub
57259,NA,NA,-1.41,3.58,Grub
57243,NA,NA,-1.57,3.82,Grub
57226,16.63,0.13,-1.29,3.58,Grub
57214,NA,NA,-1.4,NA,Grub
57209,NA,NA,-1.49,3.65,Grub
57192,NA,NA,-1.65,3.66,Grub
57175,NA,NA,-1.54,3.45,Grub
57158,NA,NA,-1.25,3.47,Grub
57141,NA,NA,-1.42,3.46,Grub
57125,NA,NA,-1.76,3.41,Grub
57108,NA,NA,-1.44,3.7,Grub
57091,NA,NA,-1.45,3.57,Grub
57074,16.54,0.13,-1.2,3.77,Grub
57074,NA,NA,-1.42,NA,Grub
57057,NA,NA,-1.47,3.35,Grub
56953,NA,NA,-1.33,3.5,Grub
56941,NA,NA,-1.17,NA,Grub
56929,NA,NA,-1.43,3.19,Grub
56917,NA,NA,-1.44,NA,Grub
56905,NA,NA,-1.24,3.33,Grub
56893,NA,NA,-1.45,3.33,Grub
56880,NA,NA,-1.19,NA,Grub
56868,NA,NA,-1.31,3.46,Grub
56856,NA,NA,-1.17,3.39,Grub
56821,NA,NA,-1.34,NA,Grub
56786,NA,NA,-1.15,3.32,Grub
56752,NA,NA,-1.32,NA,Grub
56718,NA,NA,-1.21,3.48,Grub
56686,16.56,0.135,NA,3.41,Tsac
56686,NA,NA,-1.21,3.13,Grub
56621,NA,NA,-1.11,3.24,Grub
56601,NA,NA,-1.37,NA,Grub
56588,NA,NA,-1.11,3.3,Grub
56555,NA,NA,-1.32,3.26,Grub
56360,NA,NA,-1.61,NA,Grub
56262,NA,NA,NA,3.26,Grub
56197,NA,NA,NA,3.12,Grub
56138,NA,NA,-1.56,3.32,Grub
56120,14.82,0.11,NA,3.45,Tsac
56120,15.26,0.13,-1.26,3.63,Grub
56120,15.34,0.1,NA,NA,Grub
56120,15.37,0.11,NA,NA,Grub
56119,NA,NA,-1.18,NA,Grub
56109,NA,NA,-1.3,3.67,Grub
56099,NA,NA,-1.35,3.4,Grub
56098,NA,NA,-1.06,3.28,Grub
56086,NA,NA,-1.16,3.3,Grub
56079,NA,NA,-1.29,NA,Grub
56075,NA,NA,NA,3.39,Grub
56064,NA,NA,-1.5,3.49,Grub
56060,NA,NA,-1.42,3.37,Grub
56052,NA,NA,-1.13,3.38,Grub
56041,NA,NA,-1.14,3.2,Grub
56040,NA,NA,-1.36,NA,Grub
56032,NA,NA,-1.2,3.36,Grub
56020,NA,NA,-1,3.48,Grub
56018,NA,NA,-1.13,3.41,Grub
56007,NA,NA,-1.25,3.47,Grub
56000,NA,NA,-1.35,NA,Grub
55993,NA,NA,NA,3.53,Grub
55985,NA,NA,NA,3.31,Grub
55985,NA,NA,NA,3.45,Grub
55985,NA,NA,NA,3.55,Grub
55985,NA,NA,NA,3.59,Grub
55985,NA,NA,NA,3.7,Grub
55983,NA,NA,-1.05,NA,Grub
55981,NA,NA,NA,3.38,Tsac
55981,NA,NA,-1.5,NA,Grub
55981,NA,NA,NA,3.31,Grub
55975,NA,NA,NA,3.51,Grub
55971,NA,NA,NA,3.44,Tsac
55971,NA,NA,NA,3.45,Grub
55971,NA,NA,NA,3.58,Grub
55971,NA,NA,NA,4.09,Grub
55970,NA,NA,-1.31,NA,Grub
55966,NA,NA,-1.14,NA,Grub
55965,15.4,0.165,-1.37,3.46,Tsac
55965,15.69,0.11,-1.42,NA,Grub
55965,15.76,0.22,-1.51,NA,Grub
55965,NA,NA,-1.68,NA,Tsac
55965,NA,NA,-1.55,NA,Tsac
55965,NA,NA,-1.34,NA,Tsac
55965,NA,NA,-1.19,NA,Tsac
55965,NA,NA,-1.14,NA,Grub
55961,NA,NA,-1.48,NA,Grub
55959,NA,NA,-1.21,NA,Grub
55957,15.73,0.23,-1.31,3.53,Grub
55957,NA,NA,-1.56,NA,Grub
55957,NA,NA,-1.52,NA,Grub
55957,NA,NA,-1.5,NA,Tsac
55957,NA,NA,-1.44,NA,Tsac
55957,NA,NA,-1.43,NA,Grub
55957,NA,NA,-1.25,3.43,Tsac
55956,14.61,0.115,NA,3.26,Tsac
55956,15.46,0.11,NA,NA,Grub
55954,NA,NA,NA,3.33,Tsac
55954,NA,NA,NA,3.54,Grub
55950,15.73,0.2,NA,3.33,Grub
55950,NA,NA,NA,3.19,Tsac
55950,NA,NA,NA,3.33,Grub
55950,NA,NA,NA,3.59,Grub
55948,NA,NA,NA,3.13,Grub
55948,NA,NA,NA,3.21,Grub
55948,NA,NA,NA,3.4,Grub
55946,15.35,0.15,-1.51,3.35,Grub
55946,NA,NA,-1.9,NA,Grub
55946,NA,NA,-1.73,NA,Grub
55946,NA,NA,-1.66,NA,Tsac
55946,NA,NA,-1.5,3.81,Grub
55946,NA,NA,-1.47,NA,Grub
55946,NA,NA,-1.42,NA,Tsac
55946,NA,NA,-1.21,NA,Tsac
55944,NA,NA,NA,3.72,Grub
55942,NA,NA,-1.58,3.53,Grub
55942,NA,NA,NA,3.25,Tsac
55942,NA,NA,NA,3.31,Tsac
55942,NA,NA,NA,3.57,Tsac
55934,14.76,0.2,-1.9,NA,Grub
55934,NA,NA,-1.97,NA,Grub
55934,NA,NA,-1.9,NA,Tsac
55934,NA,NA,-1.89,NA,Grub
55934,NA,NA,-1.61,NA,Tsac
55934,NA,NA,-1.58,NA,Tsac
55934,NA,NA,-1.54,NA,Tsac
55934,NA,NA,-1.51,NA,Tsac
55934,NA,NA,-1.47,NA,Tsac
55934,NA,NA,-1.41,NA,Tsac
55932,14.49,0.17,-2.14,5.04,Grub
55932,14.51,0.12,-2.32,4.69,Grub
55932,NA,NA,-2.16,NA,Grub
55932,NA,NA,-2.1,NA,Tsac
55932,NA,NA,-1.99,NA,Tsac
55932,NA,NA,-1.96,4.7,Grub
55932,NA,NA,-1.93,NA,Tsac
55932,NA,NA,-1.85,NA,Grub
55930,NA,NA,-2.09,NA,Grub
55930,NA,NA,-2.01,NA,Grub
55930,NA,NA,-1.93,5.4,Grub
55930,NA,NA,-1.83,NA,Tsac
55930,NA,NA,-1.79,NA,Grub
55930,NA,NA,-1.68,NA,Grub
55930,NA,NA,-1.6,5.2,Tsac
55930,NA,NA,-1.57,NA,Tsac
55927,14.82,0.15,-1.91,5.37,Grub
55927,NA,NA,-2.06,NA,Grub
55927,NA,NA,-1.99,NA,Grub
55927,NA,NA,-1.96,NA,Grub
55927,NA,NA,-1.95,NA,Grub
55927,NA,NA,-1.85,NA,Tsac
55927,NA,NA,-1.82,NA,Tsac
55927,NA,NA,-1.68,NA,Tsac
55926,14.11,0.165,NA,NA,Tsac
55924,NA,NA,-2.21,NA,Grub
55924,NA,NA,-2.14,NA,Grub
55924,NA,NA,-1.98,4.83,Grub
55924,NA,NA,-1.96,NA,Grub
55924,NA,NA,-1.79,5.49,Grub
55924,NA,NA,-1.77,5.12,Tsac
55924,NA,NA,-1.72,4.88,Tsac
55924,NA,NA,-1.44,NA,Tsac
55920,NA,NA,-2.17,NA,Grub
55920,NA,NA,-2.13,NA,Grub
55920,NA,NA,-1.9,NA,Grub
55920,NA,NA,-1.89,NA,Grub
55920,NA,NA,-1.86,NA,Grub
55920,NA,NA,-1.69,NA,Tsac
55920,NA,NA,-1.63,NA,Tsac
55920,NA,NA,-1.58,NA,Tsac
55917,NA,NA,-1.98,NA,Grub
55917,NA,NA,-1.93,NA,Grub
55917,NA,NA,-1.81,NA,Grub
55917,NA,NA,-1.7,NA,Grub
55917,NA,NA,-1.7,NA,Grub
55917,NA,NA,-1.64,NA,Tsac
55917,NA,NA,-1.59,NA,Tsac
55917,NA,NA,-1.29,NA,Tsac
55917,NA,NA,-1.43,NA,Grub
55914,15.11,0.14,-1.95,5.09,Grub
55914,NA,NA,-2.1,NA,Grub
55914,NA,NA,-2.08,NA,Grub
55914,NA,NA,-1.93,NA,Grub
55914,NA,NA,-1.93,NA,Grub
55914,NA,NA,-1.79,NA,Tsac
55914,NA,NA,-1.74,4.67,Tsac
55914,NA,NA,-1.61,4.32,Tsac
55907,NA,NA,-2.2,NA,Grub
55907,NA,NA,-2.14,NA,Grub
55907,NA,NA,-1.99,NA,Grub
55907,NA,NA,-1.76,NA,Grub
55907,NA,NA,-1.71,NA,Grub
55907,NA,NA,-1.7,NA,Tsac
55907,NA,NA,-1.58,NA,Tsac
55907,NA,NA,-1.4,NA,Tsac
55904,NA,NA,-2.14,NA,Grub
55904,NA,NA,-2.05,5.28,Grub
55904,NA,NA,-1.92,NA,Grub
55904,NA,NA,-1.89,NA,Grub
55904,NA,NA,-1.65,4.76,Tsac
55904,NA,NA,-1.64,NA,Tsac
55904,NA,NA,-1.58,NA,Grub
55904,NA,NA,-1.47,4.91,Tsac
55901,14.45,0.23,-2.03,4.83,Grub
55901,14.46,0.11,-2.19,NA,Grub
55901,NA,NA,-2.11,NA,Grub
55901,NA,NA,-2.03,NA,Tsac
55901,NA,NA,-1.76,NA,Grub
55901,NA,NA,-1.76,NA,Tsac
55901,NA,NA,-1.62,NA,Grub
55899,13.94,0.145,-1.99,NA,Tsac
55898,NA,NA,-1.77,NA,Grub
55898,NA,NA,-1.75,NA,Grub
55898,NA,NA,-1.62,NA,Tsac
55898,NA,NA,-1.62,NA,Tsac
55898,NA,NA,-1.54,NA,Grub
55898,NA,NA,-1.11,NA,Tsac
55894,NA,NA,-1.68,NA,Grub
55894,NA,NA,-1.68,NA,Grub
55894,NA,NA,-1.61,NA,Tsac
55894,NA,NA,-1.61,5.46,Grub
55894,NA,NA,-1.31,NA,Grub
55894,NA,NA,-1.17,NA,Tsac
55894,NA,NA,-1.08,NA,Tsac
