age,d11B,d11Bse,d18O,MgCa,species
53646,NA,NA,-1.54,3.93,Tsac
53613,NA,NA,-1.24,4.24,Tsac
53605,NA,NA,-1.57,4.08,Tsac
53590,NA,NA,-1.5,4.47,Tsac
53572,NA,NA,-1.73,NA,Tsac
53555,NA,NA,-1.51,4.48,Tsac
53551,NA,NA,-1.61,3.97,Tsac
53546,NA,NA,-1.5,3.92,Tsac
53542,NA,NA,-1.51,NA,Tsac
53538,NA,NA,-1.41,4.33,Tsac
53534,NA,NA,-1.52,4.15,Tsac
53525,NA,NA,-1.36,4.05,Tsac
53513,NA,NA,-1.38,NA,Tsac
53504,NA,NA,-1.55,3.68,Tsac
53494,NA,NA,-1.44,NA,Tsac
53483,NA,NA,-1.38,3.91,Tsac
53473,NA,NA,-1.3,3.88,Tsac
53464,NA,NA,-1.39,3.8,Tsac
53453,NA,NA,-1.6,3.86,Tsac
53443,NA,NA,-1.54,4.16,Tsac
53434,NA,NA,-1.55,4.13,Tsac
53422,NA,NA,-1.35,4.04,Tsac
53413,NA,NA,-1.41,4.12,Tsac
53404,NA,NA,-1.69,3.98,Tsac
53385,NA,NA,-1.72,3.97,Tsac
53343,NA,NA,-1.59,3.93,Tsac
53304,NA,NA,-1.74,3.84,Tsac
53262,NA,NA,-1.87,4.38,Tsac
53229,NA,NA,-1.52,3.99,Tsac
53200,14.12,0.13,NA,NA,Tsac
53200,NA,NA,-1.46,3.76,Tsac
53162,NA,NA,-1.47,4.4,Tsac
53123,NA,NA,-1.72,3.93,Tsac
53084,NA,NA,-1.36,4.09,Tsac
