"","x"
"1",58776
"2",58759
"3",58741
"4",58724
"5",58706
"6",58688
"7",58671
"8",58654
"9",58638
"10",58621
"11",58605
"12",58589
"13",58571
"14",58553
"15",58534
"16",58516
"17",58497
"18",58479
"19",58460
"20",58441
"21",58421
"22",58402
"23",58383
"24",58363
"25",58344
"26",58328
"27",58324
"28",58309
"29",58305
"30",58288
"31",58286
"32",58283
"33",58279
"34",58268
"35",58266
"36",58257
"37",58249
"38",58248
"39",58247
"40",58240
"41",58235
"42",58229
"43",58228
"44",58224
"45",58218
"46",58210
"47",58208
"48",58202
"49",58197
"50",58192
"51",58191
"52",58189
"53",58179
"54",58173
"55",58171
"56",58169
"57",58162
"58",58154
"59",58153
"60",58150
"61",58149
"62",58136
"63",58133
"64",58131
"65",58128
"66",58119
"67",58116
"68",58113
"69",58112
"70",58110
"71",58102
"72",58101
"73",58099
"74",58096
"75",58091
"76",58086
"77",58081
"78",58074
"79",58073
"80",58071
"81",58068
"82",58064
"83",58057
"84",58045
"85",58043
"86",58029
"87",58015
"88",58001
"89",57990
"90",57987
"91",57976
"92",57973
"93",57962
"94",57959
"95",57945
"96",57931
"97",57917
"98",57903
"99",57876
"100",57862
"101",57851
"102",57848
"103",57834
"104",57820
"105",57806
"106",57792
"107",57778
"108",57764
"109",57750
"110",57736
"111",57722
"112",57708
"113",57700
"114",57687
"115",57673
"116",57659
"117",57645
"118",57632
"119",57619
"120",57606
"121",57593
"122",57580
"123",57566
"124",57553
"125",57540
"126",57527
"127",57514
"128",57500
"129",57487
"130",57478
"131",57474
"132",57461
"133",57448
"134",57435
"135",57421
"136",57408
"137",57395
"138",57382
"139",57371
"140",57369
"141",57354
"142",57338
"143",57322
"144",57306
"145",57290
"146",57275
"147",57259
"148",57243
"149",57226
"150",57214
"151",57209
"152",57192
"153",57175
"154",57158
"155",57141
"156",57125
"157",57108
"158",57091
"159",57074
"160",57057
"161",56953
"162",56941
"163",56929
"164",56917
"165",56905
"166",56893
"167",56880
"168",56868
"169",56856
"170",56821
"171",56786
"172",56752
"173",56718
"174",56686
"175",56621
"176",56601
"177",56588
"178",56555
"179",56360
"180",56262
"181",56197
"182",56138
"183",56120
"184",56119
"185",56109
"186",56099
"187",56098
"188",56086
"189",56079
"190",56075
"191",56064
"192",56060
"193",56052
"194",56041
"195",56040
"196",56032
"197",56020
"198",56018
"199",56007
"200",56000
"201",55993
"202",55985
"203",55983
"204",55981
"205",55975
"206",55971
"207",55970
"208",55966
"209",55965
"210",55961
"211",55959
"212",55957
"213",55956
"214",55954
"215",55950
"216",55948
"217",55946
"218",55944
"219",55942
"220",55934
"221",55932
"222",55930
"223",55927
"224",55926
"225",55924
"226",55920
"227",55917
"228",55914
"229",55907
"230",55904
"231",55901
"232",55899
"233",55898
"234",55894
"235",55891
"236",55888
"237",55885
"238",55882
"239",55872
"240",55869
"241",55865
"242",55859
"243",55853
"244",55849
"245",55848
"246",55846
"247",55843
"248",55833
"249",55822
"250",55820
"251",55817
"252",55815
"253",55805
"254",55803
"255",55800
"256",55798
"257",55796
"258",55794
"259",55788
"260",55781
"261",55776
"262",55774
"263",55772
"264",55765
"265",55761
"266",55759
"267",55753
"268",55749
"269",55741
"270",55739
"271",55734
"272",55732
"273",55722
"274",55715
"275",55712
"276",55710
"277",55708
"278",55698
"279",55697
"280",55686
"281",55679
"282",55674
"283",55673
"284",55660
"285",55649
"286",55644
"287",55628
"288",55622
"289",55619
"290",55607
"291",55594
"292",55589
"293",55560
"294",55553
"295",55550
"296",55520
"297",55485
"298",55450
"299",55448
"300",55411
"301",55376
"302",55345
"303",55332
"304",55257
"305",55197
"306",55138
"307",55079
"308",55021
"309",55011
"310",54963
"311",54936
"312",54916
"313",54895
"314",54865
"315",54853
"316",54777
"317",54769
"318",54696
"319",54684
"320",54683
"321",54660
"322",54644
"323",54620
"324",54604
"325",54603
"326",54579
"327",54563
"328",54535
"329",54525
"330",54523
"331",54499
"332",54483
"333",54458
"334",54444
"335",54440
"336",54413
"337",54355
"338",54328
"339",54292
"340",54283
"341",54266
"342",54265
"343",54251
"344",54233
"345",54211
"346",54197
"347",54188
"348",54170
"349",54157
"350",54134
"351",54125
"352",54116
"353",54107
"354",54098
"355",54089
"356",54080
"357",54067
"358",54062
"359",54060
"360",54054
"361",54053
"362",54052
"363",54051
"364",54050
"365",54048
"366",54045
"367",54044
"368",54042
"369",54038
"370",54035
"371",54032
"372",54029
"373",54024
"374",54021
"375",54018
"376",54010
"377",54008
"378",54007
"379",54004
"380",54000
"381",53998
"382",53991
"383",53972
"384",53969
"385",53965
"386",53963
"387",53946
"388",53936
"389",53926
"390",53914
"391",53903
"392",53901
"393",53891
"394",53871
"395",53862
"396",53837
"397",53832
"398",53819
"399",53680
"400",53673
"401",53667
"402",53652
"403",53646
"404",53613
"405",53605
"406",53590
"407",53572
"408",53555
"409",53551
"410",53546
"411",53542
"412",53538
"413",53534
"414",53525
"415",53513
"416",53504
"417",53494
"418",53483
"419",53473
"420",53464
"421",53453
"422",53443
"423",53434
"424",53422
"425",53413
"426",53404
"427",53385
"428",53343
"429",53304
"430",53262
"431",53229
"432",53200
"433",53162
"434",53123
"435",53084
