age,mean,sd,2.50%,25%,50%,75%,97.50%
54603,7.665668595,0.070487407,7.524358728,7.618638025,7.666082404,7.71300122,7.801029882
54579,7.664428119,0.068752086,7.527452493,7.618788375,7.665085829,7.709790703,7.798360851
54563,7.665157351,0.067483272,7.530956991,7.620229613,7.665754446,7.71005063,7.794855019
54535,7.666493445,0.064024973,7.540180906,7.623201244,7.667245854,7.709750172,7.790971855
54525,7.668005341,0.062194999,7.54437793,7.625731732,7.668404507,7.709260803,7.789803772
54523,7.668318302,0.061694669,7.545608835,7.626153017,7.669202327,7.709842507,7.788408854
54499,7.673350919,0.056400141,7.561410618,7.636249944,7.674007488,7.710875129,7.78348667
54483,7.677518791,0.051874922,7.576115952,7.642743563,7.677918686,7.712101501,7.780720076
54458,7.685173197,0.042198194,7.60010338,7.657607124,7.685362256,7.713848704,7.766738206
54444,7.691870108,0.034329717,7.622715713,7.668968345,7.692784888,7.715049353,7.756638214
54440,7.693704443,0.031699717,7.628538023,7.672880261,7.69455897,7.71564431,7.752809147
54413,7.693517424,0.046438457,7.602518378,7.66256561,7.694131999,7.725622199,7.78240556
54355,7.695355506,0.06124183,7.575251307,7.654158627,7.696082558,7.737345825,7.81454321
54328,7.694519568,0.064425859,7.567899807,7.651185363,7.695060863,7.737970114,7.819219611
54292,7.696827915,0.066876924,7.565281564,7.651907442,7.696561904,7.741501823,7.827484868
54283,7.696725481,0.067060373,7.564120338,7.652099126,7.695800841,7.742116374,7.827978486
54266,7.697709751,0.067485106,7.565941115,7.652269523,7.696900515,7.743838741,7.831158261
54265,7.69771961,0.067504496,7.566740081,7.651841064,7.697221626,7.743215327,7.83166482
54251,7.697259577,0.067301601,7.566629088,7.651408864,7.696757975,7.74318165,7.828254483
54233,7.699132787,0.066290914,7.568664942,7.65405477,7.69902527,7.745088178,7.829214607
54211,7.703452738,0.064575026,7.577846328,7.659890666,7.703512927,7.747745378,7.830022474
54197,7.706227718,0.063485801,7.581462016,7.663484687,7.707025229,7.748776313,7.828420703
54188,7.708202449,0.062462244,7.583030622,7.666142266,7.708541066,7.750942313,7.829845864
54170,7.713390233,0.059892323,7.593717709,7.673412427,7.714085341,7.754685925,7.828631548
54157,7.718149684,0.057877969,7.603148674,7.679300348,7.71893305,7.757472554,7.829949986
54134,7.726882202,0.052472221,7.621830566,7.691777701,7.727813562,7.762162817,7.827783431
54125,7.731427103,0.049697073,7.631745089,7.698359857,7.731566197,7.765301543,7.827508663
54116,7.735978256,0.046390295,7.642858976,7.705035075,7.736177665,7.767576047,7.825639473
54107,7.740831349,0.042509648,7.656077996,7.712234053,7.741077074,7.769624871,7.824223107
54098,7.745869624,0.037947283,7.670945012,7.72074443,7.746078819,7.771675652,7.819029205
54089,7.749891146,0.032827232,7.685125447,7.727893001,7.750105353,7.772277449,7.812918442
54080,7.753438326,0.026069908,7.701477229,7.736139131,7.754020726,7.771415623,7.803015545
54067,7.750301189,0.027966317,7.694716241,7.731520162,7.75102933,7.769416528,7.803655551
54062,7.749488137,0.026339104,7.697187566,7.731899441,7.749615961,7.767392443,7.799860503
54060,7.749047533,0.025188008,7.69853763,7.732270348,7.749297546,7.766706738,7.79734427
54054,7.725864951,0.022545005,7.680280605,7.710940428,7.726377778,7.74123207,7.769029658
54053,7.717796137,0.02210145,7.673491284,7.703165416,7.718281788,7.732961181,7.759858583
54052,7.707586475,0.021952513,7.663180622,7.692982716,7.708192265,7.722749028,7.749196331
54051,7.701922085,0.022118099,7.657344624,7.687215915,7.702495514,7.717064289,7.743937997
54050,7.69752297,0.022112031,7.652985145,7.682878148,7.698095595,7.712672293,7.73900065
54048,7.678253238,0.022331733,7.632681424,7.663723994,7.678901808,7.693619809,7.720153972
54045,7.645366193,0.023189499,7.59867264,7.630144408,7.645924676,7.661034234,7.688806698
54044,7.634397426,0.023133224,7.587460768,7.619086787,7.63493857,7.650089235,7.677915758
54042,7.625464081,0.02447271,7.576317897,7.609124396,7.626008133,7.642126456,7.671717449
54038,7.607591759,0.025462294,7.556147181,7.590488241,7.608403446,7.624716057,7.656335284
54035,7.611737966,0.027736542,7.555708338,7.593387722,7.612325433,7.630651513,7.664325433
54032,7.615918392,0.029292385,7.557703215,7.596090082,7.616551915,7.636030856,7.671609992
54029,7.62037822,0.030571825,7.560536467,7.599684213,7.620766579,7.641535394,7.679584149
54024,7.627105766,0.031830441,7.564660853,7.605539799,7.627571026,7.648571838,7.688023853
54021,7.631285602,0.032260209,7.56733778,7.609595988,7.631737624,7.653519728,7.693327926
54018,7.635148653,0.032256831,7.571560299,7.613341455,7.635495437,7.657474335,7.696714816
54010,7.645500817,0.030836588,7.583937079,7.62456599,7.646062502,7.666957701,7.703439617
54008,7.648125402,0.030173387,7.587719246,7.62769105,7.648506989,7.669234277,7.705794168
54007,7.649838122,0.030649855,7.589040875,7.629072252,7.650183414,7.670882633,7.708590756
54004,7.654583198,0.031841056,7.591112566,7.632994699,7.655186214,7.676256532,7.715206647
54000,7.661306505,0.033162966,7.595840382,7.638830309,7.661708863,7.683830773,7.725750768
53998,7.664654486,0.033606675,7.597807363,7.641758229,7.665146063,7.687524584,7.729690431
53991,7.676476951,0.034175224,7.60887086,7.653474764,7.676873576,7.699723123,7.742886937
53972,7.704604361,0.028377755,7.647581584,7.685512498,7.705033628,7.724290154,7.758156848
53969,7.70937257,0.026369743,7.655852117,7.691848588,7.710072553,7.727649384,7.758229303
53965,7.697185829,0.026488665,7.643802357,7.679865428,7.697720874,7.715237331,7.74729285
53963,7.690986091,0.026223974,7.637173936,7.673762518,7.691715079,7.70864582,7.740445904
53946,7.695940445,0.038530274,7.619153333,7.669708032,7.696447494,7.72212269,7.770424822
53936,7.698878316,0.043788846,7.612763232,7.669463264,7.699059991,7.728160196,7.784203663
53926,7.701047461,0.048004408,7.606560307,7.668819824,7.701345148,7.733699801,7.794418209
53914,7.703175092,0.052566288,7.598524824,7.668572085,7.703130829,7.738390543,7.805788445
53903,7.703426912,0.055971455,7.591931726,7.666203012,7.703294749,7.74114318,7.813387591
53901,7.703091732,0.056330783,7.592051506,7.665806017,7.702859778,7.740801137,7.812369936
53891,7.703185689,0.058863328,7.585630789,7.663977296,7.703524097,7.742617808,7.818241317
53871,7.704971662,0.063587523,7.579553718,7.662196479,7.705227223,7.748588569,7.829387609
53862,7.706493702,0.065434834,7.576952972,7.662284179,7.707155695,7.750781552,7.834637504
53837,7.709656525,0.069472452,7.568529268,7.662924954,7.710607114,7.756654988,7.844658652
53832,7.710120588,0.070337943,7.569799535,7.662865237,7.711040697,7.758112352,7.845018024
53819,7.712685476,0.072352301,7.568589191,7.663655823,7.712949206,7.762585265,7.852822159
53680,7.73746346,0.083766944,7.565322963,7.683345666,7.740290212,7.794390294,7.896878937
53673,7.738653658,0.084108543,7.565478401,7.684178367,7.741699483,7.796325432,7.8990757
53667,7.739792519,0.08430232,7.565079704,7.685755324,7.742529273,7.797469907,7.901084701
53652,7.743229882,0.085072377,7.569129349,7.688146535,7.745562831,7.801343244,7.904190994
53646,7.744035887,0.085447868,7.569643976,7.688567735,7.746811257,7.803149033,7.906482669
