age,mean,sd,2.50%,25%,50%,75%,97.50%
58776,35.69175997,0.288037091,34.94455582,35.55984213,35.77549601,35.90690853,35.99163266
58759,34.89647173,0.490640373,33.86877121,34.59426514,34.91395354,35.22503171,35.80570295
58741,35.59523592,0.505599956,34.54879604,35.27385032,35.61612098,35.94463985,36.51782283
58724,34.82178545,0.499148102,33.77514141,34.5151675,34.84112916,35.15925361,35.75282821
58706,34.6461658,0.5000915,33.59780257,34.32866012,34.66557337,34.98838834,35.56863276
58688,34.42447112,0.395720192,33.5490052,34.19378579,34.45649486,34.69534287,35.11260285
58671,34.01203423,0.869995915,32.28064952,33.43042044,34.02298175,34.59942606,35.70080505
58654,33.88700813,0.390285309,33.04366976,33.65341388,33.91704224,34.15474846,34.57414821
58638,34.30532767,0.392235543,33.43540654,34.07035607,34.3367708,34.57755975,34.97828153
58621,34.66322425,0.393574201,33.79656892,34.42625854,34.69514348,34.93334528,35.35675647
58605,34.23761647,0.393790845,33.37340298,34.00364982,34.2703767,34.50687212,34.91924675
58589,33.90853161,0.856267632,32.24124959,33.33429841,33.91506866,34.4875678,35.56296178
58571,34.63781073,0.395409291,33.76277041,34.40357174,34.66942859,34.90598247,35.33856908
58553,34.8391771,0.401498919,33.94948904,34.60180095,34.87115625,35.11589243,35.53284578
58534,34.81766167,0.395762311,33.94792944,34.58347436,34.8494967,35.08550581,35.5108518
58516,35.39177925,0.402960796,34.49107686,35.15400248,35.4275329,35.669941,36.08248553
58497,35.21104989,0.398698915,34.32479724,34.97080338,35.24158508,35.48571918,35.90007208
58479,35.16419378,0.400921331,34.27684732,34.9250516,35.19897719,35.43927616,35.86215494
58460,36.16979985,0.404769023,35.26799308,35.93474431,36.20851,36.44580975,36.85808096
58441,36.21864747,0.405493958,35.32552728,35.97684274,36.25593326,36.50237866,36.91174012
58421,35.69976875,0.398741842,34.82351718,35.46633859,35.73431391,35.97177373,36.39710162
58402,36.33404978,0.405151361,35.41037866,36.098228,36.37295487,36.61436791,37.01381785
58383,35.82351895,0.403328051,34.92565367,35.58669066,35.85651587,36.10004448,36.52173381
58363,35.5216987,0.404273923,34.64233058,35.28125631,35.55448266,35.80014103,36.22110329
58344,36.0306683,0.40169698,35.13913492,35.80032526,36.0608503,36.30517606,36.7218719
58328,36.97046425,0.462849004,36.0077308,36.6831543,36.99718475,37.28628525,37.79482228
58324,36.66214019,0.411553612,35.75171052,36.42230826,36.696352,36.93819355,37.37037108
58309,37.43685081,0.463639714,36.45675509,37.14954489,37.46599677,37.75555496,38.26348639
58305,36.11193734,0.405506163,35.19606653,35.87874556,36.14774976,36.3890808,36.80558525
58288,37.18490828,0.433655102,36.2234097,36.92670596,37.22115192,37.48068242,37.94217409
58286,36.61023745,0.402548482,35.7043056,36.37734101,36.64887969,36.8870093,37.2944442
58283,36.52497787,0.455354744,35.54690792,36.24416622,36.55669431,36.83669126,37.34960825
58279,36.63334681,0.483646481,35.6091206,36.32939845,36.65679676,36.96641314,37.50586688
58268,36.9704329,0.437913714,36.03989826,36.70076663,37.00028899,37.26929385,37.75989054
58266,36.3973357,0.388810238,35.53479948,36.17131544,36.43646283,36.66614436,37.05337854
58257,37.0210495,0.490981467,35.9794957,36.71319384,37.05056381,37.35562288,37.91384184
58249,37.4596506,0.43738363,36.50732163,37.19613718,37.49340112,37.76135658,38.21269697
58248,37.03264814,0.423150097,36.08987389,36.78308599,37.06428672,37.32135362,37.76668251
58247,36.91566419,0.407691574,35.99949524,36.68304589,36.95232204,37.1982425,37.60199326
58240,36.29338263,0.483145485,35.28999229,35.99294483,36.31396798,36.62276112,37.17666096
58235,36.94706635,0.480808016,35.93501214,36.64515115,36.97305942,37.28002545,37.82807221
58229,37.11619918,0.423435706,36.19130525,36.86877115,37.14684562,37.41034687,37.84598849
58228,36.81864939,0.405947856,35.90951506,36.58328328,36.8556409,37.09964102,37.51194818
58224,37.17027284,0.46976635,36.1587872,36.87737981,37.20349764,37.4931474,38.00982762
58218,36.92723135,0.489478317,35.8840676,36.61868951,36.9535025,37.26753539,37.81038479
58210,36.98585883,0.443208702,36.0131543,36.71380947,37.0191004,37.28918637,37.76409599
58208,36.93621249,0.406672164,36.02615975,36.69710433,36.97712682,37.21485845,37.62866348
58202,37.22472088,0.487788113,36.18510993,36.92466934,37.24812879,37.5568671,38.11730137
58197,37.80656494,0.491706641,36.74891777,37.50287491,37.83210102,38.14615638,38.6905559
58192,37.57778601,0.457562361,36.57612401,37.29933752,37.60782245,37.89134226,38.39901413
58191,38.21409007,0.437737205,37.25641015,37.95566194,38.24719932,38.51235158,38.9905312
58189,37.18918496,0.410285552,36.2783845,36.95236707,37.22646652,37.46737096,37.89378189
58179,37.93440209,0.502145693,36.87077273,37.62250111,37.961066,38.27610928,38.85125564
58173,38.13569968,0.469127521,37.12524824,37.84440941,38.16626201,38.45656914,38.97889308
58171,37.46665327,0.445255757,36.51049256,37.19809648,37.50267658,37.77034072,38.24626041
58169,36.99248494,0.40948975,36.0700342,36.75564697,37.02814464,37.27758893,37.68153144
58162,37.90838505,0.494852168,36.85766568,37.60105246,37.93107763,38.24535233,38.80122455
58154,38.46230297,0.474962196,37.44787683,38.16710642,38.48836352,38.7890448,39.30570504
58153,37.99499812,0.457557591,37.00701287,37.71300401,38.03210814,38.31311555,38.80341115
58150,37.55083616,0.410941541,36.6403412,37.30753252,37.58652076,37.83838888,38.24505558
58149,37.62292819,0.424722154,36.69158814,37.36785201,37.65875091,37.91591666,38.36192763
58136,37.38300555,0.472520538,36.36458313,37.09801967,37.41693833,37.70209957,38.23902567
58133,37.01226303,0.447628678,36.03110016,36.74468341,37.0481822,37.31747263,37.80456301
58131,37.24409477,0.409740746,36.32016765,37.00876089,37.27836175,37.52642323,37.9445919
58128,38.0879875,0.452260349,37.09912108,37.81153146,38.12171684,38.39751174,38.87771799
58119,37.42834746,0.484700576,36.41433277,37.12570095,37.45799295,37.76707945,38.30610487
58116,37.56492393,0.457188253,36.57895007,37.28939445,37.59177807,37.88341319,38.37364345
58113,37.04088241,0.40420522,36.15385099,36.80581901,37.08039701,37.32112074,37.71930615
58112,37.36794738,0.424620124,36.42979424,37.11702854,37.40228051,37.65877495,38.10139612
58110,37.54820755,0.461677712,36.54824748,37.25972823,37.57883193,37.86403468,38.37861355
58102,37.61768302,0.462734963,36.6177308,37.3339471,37.6461327,37.9375899,38.44527476
58101,37.58754936,0.446644252,36.61133962,37.3234996,37.62384578,37.88890734,38.37204289
58099,37.02848774,0.404313566,36.1186995,36.79484181,37.06803488,37.30787847,37.71146265
58096,37.33572722,0.456857305,36.36228873,37.05553232,37.36060824,37.6476715,38.15932154
58091,37.97893964,0.47273892,36.97218353,37.69064714,38.00850745,38.30220912,38.82951715
58086,38.16909734,0.400678387,37.25725875,37.94095976,38.21094251,38.4451521,38.82875312
58081,38.42338898,0.475035966,37.40399852,38.13420655,38.45319583,38.74627353,39.28445043
58074,37.87275898,0.451415111,36.86766339,37.60558968,37.9057547,38.17826155,38.67038822
58073,38.35824775,0.444248174,37.39074596,38.09122954,38.39263403,38.66330615,39.13866813
58071,37.92865936,0.411799352,36.99656047,37.69578106,37.96719841,38.20969903,38.6152229
58068,38.15662024,0.452751656,37.18406191,37.88505777,38.19032851,38.46683674,38.95446539
58064,38.13574743,0.473356772,37.10888241,37.84911297,38.16731125,38.46080327,38.97135588
58057,37.67737788,0.403316352,36.75359879,37.44889669,37.71747365,37.95182991,38.34874692
58045,37.5487323,0.445075741,36.60159694,37.27402507,37.57444746,37.8548698,38.34640856
58043,36.59762581,0.407932151,35.68269441,36.35966394,36.63556351,36.87668585,37.29047683
58029,37.20260576,0.397930179,36.30315927,36.97931411,37.2423409,37.47563306,37.88100966
58015,36.46379129,0.40456346,35.59322138,36.2217895,36.49731699,36.74188246,37.15894109
58001,37.11988657,0.382988095,36.24090385,36.90769957,37.16305361,37.38609718,37.74478374
57990,36.95496381,0.459559411,35.97658752,36.67043896,36.98201117,37.2701865,37.77441749
57987,36.9538092,0.409772723,36.03025338,36.71984455,36.98947333,37.23199505,37.66306754
57976,36.71607475,0.453449292,35.73546258,36.44421566,36.7481736,37.02355126,37.51656655
57973,36.47142495,0.406700624,35.54576883,36.23933811,36.50925183,36.74922196,37.16160108
57962,36.97112519,0.458226066,35.98651682,36.68799584,37.0015516,37.29190573,37.77989312
57959,36.39198521,0.408625709,35.48398491,36.1579301,36.4294345,36.67671945,37.08091971
57945,36.30971343,0.407329766,35.40852,36.06800407,36.34989379,36.58818868,37.00398705
57931,36.15937959,0.405281047,35.27270714,35.92005801,36.19807555,36.43779954,36.84737418
57917,36.10504993,0.40035392,35.22249453,35.87058611,36.14120872,36.37727841,36.78872687
57903,35.83654047,0.404733503,34.94556537,35.59904782,35.86902363,36.11276823,36.54196333
57876,36.14500963,0.407281223,35.23888288,35.9057288,36.17853133,36.42241141,36.84259563
57862,35.13091502,0.402657545,34.25310502,34.89061508,35.1676471,35.41146495,35.82327086
57851,35.40699924,0.583543785,34.21751739,35.01896063,35.42798248,35.80417644,36.50554257
57848,35.53682664,0.4008162,34.65099171,35.30390731,35.57285263,35.81200659,36.22111253
57834,36.19460511,0.408171099,35.28697544,35.95715081,36.23099156,36.47601957,36.88862366
57820,35.55721264,0.404194705,34.66410883,35.31917377,35.5926963,35.83680595,36.2510074
57806,35.65309234,0.407605391,34.75457391,35.41153884,35.68627156,35.93500462,36.35427065
57792,34.89620587,0.395098506,34.00160438,34.66707661,34.92727059,35.16276471,35.59045652
57778,34.74663993,0.384551539,33.89217348,34.51920578,34.77960908,35.01028963,35.40413373
57764,35.3184754,0.407409899,34.41599436,35.08332278,35.34833139,35.59826743,36.01806558
57750,34.84530928,0.397582474,33.97986222,34.61051885,34.87521683,35.11645253,35.5434083
57736,34.52483605,0.400795124,33.63935061,34.29397397,34.55500817,34.79503453,35.22125637
