Species,Size Fraction (um),Leg,Site,Hole,Core,T,Sec,Top (cm),Bottom (cm),mbsf,adjusted rmcd (following off-splice corrections in Westerhold and Rohl 2006 Table T3),Age (Ma; Westerhold et al. 2018),Data Source,d13Cplank
A. soldadoensis,250-355,198,1209,A,21,H,4,5,6,193.25,213.4609429,54.483,"Harper et al., 2024",2.55
A. soldadoensis,250-355,198,1209,A,21,H,4,9,10,193.29,213.5003714,54.499,"Harper et al., 2024",2.45
A. soldadoensis,250-355,198,1209,A,21,H,4,15,16,193.35,213.5595143,54.523,"Harper et al., 2024",3.07
A. soldadoensis,250-355,198,1209,A,21,H,4,18,19,193.38,213.5890857,54.535,"Harper et al., 2024",2.58
A. soldadoensis,250-355,198,1209,A,21,H,4,25,26,193.45,213.658275,54.563,"Harper et al., 2024",2.69
A. soldadoensis,250-355,198,1209,A,21,H,4,29,30,193.49,213.697855,54.579,"Harper et al., 2024",2.79
A. soldadoensis,250-355,198,1209,A,21,H,4,35,37,193.55,213.7588,54.603,"Harper et al., 2024",2.71
A. soldadoensis,250-355,198,1209,A,21,H,4,39,40,193.59,213.7967,54.62,"Harper et al., 2024",2.44
A. soldadoensis,250-355,198,1209,A,21,H,4,45,46,193.65,213.8563,54.644,"Harper et al., 2024",2.62
A. soldadoensis,250-355,198,1209,A,21,H,4,49,50,193.69,213.896,54.66,"Harper et al., 2024",2.9
A. soldadoensis,250-355,198,1209,A,21,H,4,55,57,193.75,213.9623,54.684,"Harper et al., 2024",2.77
A. soldadoensis,250-355,198,1209,A,21,H,4,59,60,193.79,213.9947,54.696,"Harper et al., 2024",2.73
A. soldadoensis,250-355,198,1209,A,21,H,4,75,77,193.95,214.1658,54.777,"Harper et al., 2024",2.79
A. soldadoensis,250-355,198,1209,A,21,H,4,95,97,194.15,214.313,54.853,"Harper et al., 2024",2.62
A. soldadoensis,250-355,198,1209,A,21,H,4,115,117,194.35,214.4602,54.895,"Harper et al., 2024",2.58
A. soldadoensis,250-355,198,1209,A,21,H,4,135,137,194.55,214.6074,54.936,"Harper et al., 2024",3.05
A. soldadoensis,250-355,198,1209,A,21,H,5,5,7,194.75,214.85,55.011,"Harper et al., 2024",3.09
A. soldadoensis,250-355,198,1209,A,21,H,5,25,27,194.95,215.05,55.079,"Harper et al., 2024",3.11
A. soldadoensis,250-355,198,1209,A,21,H,5,45,47,195.15,215.25,55.138,"Harper et al., 2024",2.83
A. soldadoensis,250-355,198,1209,A,21,H,5,65,67,195.35,215.45,55.197,"Harper et al., 2024",2.68
A. soldadoensis,250-355,198,1209,C,11,H,2,125,127,195.75,216.58,55.56,"Harper et al., 2024",2.91
A. soldadoensis,250-355,198,1209,C,11,H,2,135,137,195.85,216.68,55.594,"Harper et al., 2024",2.76
