time,salinity ,temp (C),press (bar),[Ca],[Mg],[SO4],d11Bsw,d18Osw,pCO2,DIC
0,35,25,30,20,40,20,37,1,500,2100
0,35,25,30,20,40,20,41,1,500,2100
0,35,25,30,20,40,5,39,1,500,2100
0,35,25,30,20,40,30,39,1,500,2100
0,35,25,30,20,20,20,39,1,500,2100
0,35,25,30,20,60,20,39,1,500,2100
0,35,25,30,10,40,20,39,1,500,2100
0,35,25,30,40,40,20,39,1,500,2100
0,35,25,0,20,40,20,39,1,500,2100
0,35,25,100,20,40,20,39,1,500,2100
0,35,10,30,20,40,20,39,1,500,2100
0,35,40,30,20,40,20,39,1,500,2100
0,32,25,30,20,40,20,39,1,500,2100
0,38,25,30,20,40,20,39,1,500,2100
0,35,25,30,10,40,20,39,-1,500,2100
0,35,25,30,10,40,20,39,-1,500,2100
0,35,25,30,10,40,20,39,-1,280,2100
0,35,25,30,10,40,20,39,-1,1680,2100
0,35,25,30,10,40,20,39,-3,500,2100
0,35,25,30,10,40,20,39,1,500,2100
0,35,25,30,10,40,20,37,-1,500,2100
0,35,25,30,10,40,20,41,-1,500,2100
0,35,25,30,10,40,5,39,-1,500,2100
0,35,25,30,10,40,30,39,-1,500,2100
0,35,25,30,10,20,20,39,-1,500,2100
0,35,25,30,10,60,20,39,-1,500,2100
0,35,25,0,10,40,20,39,-1,500,2100
0,35,25,100,10,40,20,39,-1,500,2100
0,35,10,30,10,40,20,39,-1,500,2100
0,35,40,30,10,40,20,39,-1,500,2100
0,32,25,30,10,40,20,39,-1,500,2100
0,38,25,30,10,40,20,39,-1,500,2100
0,35,25,30,40,40,20,39,-1,500,2100
0,35,25,30,40,40,20,39,-1,500,2100
0,35,25,30,40,40,20,39,-1,280,2100
0,35,25,30,40,40,20,39,-1,1680,2100
0,35,25,30,40,40,20,39,-3,500,2100
0,35,25,30,40,40,20,39,1,500,2100
0,35,25,30,40,40,20,37,-1,500,2100
0,35,25,30,40,40,20,41,-1,500,2100
0,35,25,30,40,40,5,39,-1,500,2100
0,35,25,30,40,40,30,39,-1,500,2100
0,35,25,30,40,20,20,39,-1,500,2100
0,35,25,30,40,60,20,39,-1,500,2100
0,35,25,0,40,40,20,39,-1,500,2100
0,35,25,100,40,40,20,39,-1,500,2100
0,35,10,30,40,40,20,39,-1,500,2100
0,35,40,30,40,40,20,39,-1,500,2100
0,32,25,30,40,40,20,39,-1,500,2100
0,38,25,30,40,40,20,39,-1,500,2100
0,35,25,30,20,20,20,39,-1,500,2100
0,35,25,30,20,20,20,39,-1,500,2100
0,35,25,30,20,20,20,39,-1,280,2100
0,35,25,30,20,20,20,39,-1,1680,2100
0,35,25,30,20,20,20,39,-3,500,2100
0,35,25,30,20,20,20,39,1,500,2100
0,35,25,30,20,20,20,37,-1,500,2100
0,35,25,30,20,20,20,41,-1,500,2100
0,35,25,30,20,20,5,39,-1,500,2100
0,35,25,30,20,20,30,39,-1,500,2100
0,35,25,30,10,20,20,39,-1,500,2100
0,35,25,30,40,20,20,39,-1,500,2100
0,35,25,0,20,20,20,39,-1,500,2100
0,35,25,100,20,20,20,39,-1,500,2100
0,35,10,30,20,20,20,39,-1,500,2100
0,35,40,30,20,20,20,39,-1,500,2100
0,32,25,30,20,20,20,39,-1,500,2100
0,38,25,30,20,20,20,39,-1,500,2100
0,35,25,30,20,60,20,39,-1,500,2100
0,35,25,30,20,60,20,39,-1,500,2100
0,35,25,30,20,60,20,39,-1,280,2100
0,35,25,30,20,60,20,39,-1,1680,2100
0,35,25,30,20,60,20,39,-3,500,2100
0,35,25,30,20,60,20,39,1,500,2100
0,35,25,30,20,60,20,37,-1,500,2100
0,35,25,30,20,60,20,41,-1,500,2100
0,35,25,30,20,60,5,39,-1,500,2100
0,35,25,30,20,60,30,39,-1,500,2100
0,35,25,30,10,60,20,39,-1,500,2100
0,35,25,30,40,60,20,39,-1,500,2100
0,35,25,0,20,60,20,39,-1,500,2100
0,35,25,100,20,60,20,39,-1,500,2100
0,35,10,30,20,60,20,39,-1,500,2100
0,35,40,30,20,60,20,39,-1,500,2100
0,32,25,30,20,60,20,39,-1,500,2100
0,38,25,30,20,60,20,39,-1,500,2100
0,35,25,30,20,40,5,39,-1,500,2100
0,35,25,30,20,40,5,39,-1,500,2100
0,35,25,30,20,40,5,39,-1,280,2100
0,35,25,30,20,40,5,39,-1,1680,2100
0,35,25,30,20,40,5,39,-3,500,2100
0,35,25,30,20,40,5,39,1,500,2100
0,35,25,30,20,40,5,37,-1,500,2100
0,35,25,30,20,40,5,41,-1,500,2100
0,35,25,30,20,20,5,39,-1,500,2100
0,35,25,30,20,60,5,39,-1,500,2100
0,35,25,30,10,40,5,39,-1,500,2100
0,35,25,30,40,40,5,39,-1,500,2100
0,35,25,0,20,40,5,39,-1,500,2100
0,35,25,100,20,40,5,39,-1,500,2100
0,35,10,30,20,40,5,39,-1,500,2100
0,35,40,30,20,40,5,39,-1,500,2100
0,32,25,30,20,40,5,39,-1,500,2100
0,38,25,30,20,40,5,39,-1,500,2100
0,35,25,30,20,40,30,39,-1,500,2100
0,35,25,30,20,40,30,39,-1,500,2100
0,35,25,30,20,40,30,39,-1,280,2100
0,35,25,30,20,40,30,39,-1,1680,2100
0,35,25,30,20,40,30,39,-3,500,2100
0,35,25,30,20,40,30,39,1,500,2100
0,35,25,30,20,40,30,37,-1,500,2100
0,35,25,30,20,40,30,41,-1,500,2100
0,35,25,30,20,20,30,39,-1,500,2100
0,35,25,30,20,60,30,39,-1,500,2100
0,35,25,30,10,40,30,39,-1,500,2100
0,35,25,30,40,40,30,39,-1,500,2100
0,35,25,0,20,40,30,39,-1,500,2100
0,35,25,100,20,40,30,39,-1,500,2100
0,35,10,30,20,40,30,39,-1,500,2100
0,35,40,30,20,40,30,39,-1,500,2100
0,32,25,30,20,40,30,39,-1,500,2100
0,38,25,30,20,40,30,39,-1,500,2100
0,35,10,30,20,40,20,39,-1,500,2100
0,35,10,30,20,40,20,39,-1,500,2100
0,35,10,30,20,40,20,39,-1,280,2100
0,35,10,30,20,40,20,39,-1,1680,2100
0,35,10,30,20,40,20,39,-3,500,2100
0,35,10,30,20,40,20,39,1,500,2100
0,35,10,30,20,40,20,37,-1,500,2100
0,35,10,30,20,40,20,41,-1,500,2100
0,35,10,30,20,40,5,39,-1,500,2100
0,35,10,30,20,40,30,39,-1,500,2100
0,35,10,30,20,20,20,39,-1,500,2100
0,35,10,30,20,60,20,39,-1,500,2100
0,35,10,30,10,40,20,39,-1,500,2100
0,35,10,30,40,40,20,39,-1,500,2100
0,35,10,0,20,40,20,39,-1,500,2100
0,35,10,100,20,40,20,39,-1,500,2100
0,32,10,30,20,40,20,39,-1,500,2100
0,38,10,30,20,40,20,39,-1,500,2100
0,35,40,30,20,40,20,39,-1,500,2100
0,35,40,30,20,40,20,39,-1,500,2100
0,35,40,30,20,40,20,39,-1,280,2100
0,35,40,30,20,40,20,39,-1,1680,2100
0,35,40,30,20,40,20,39,-3,500,2100
0,35,40,30,20,40,20,39,1,500,2100
0,35,40,30,20,40,20,37,-1,500,2100
0,35,40,30,20,40,20,41,-1,500,2100
0,35,40,30,20,40,5,39,-1,500,2100
0,35,40,30,20,40,30,39,-1,500,2100
0,35,40,30,20,20,20,39,-1,500,2100
0,35,40,30,20,60,20,39,-1,500,2100
0,35,40,30,10,40,20,39,-1,500,2100
0,35,40,30,40,40,20,39,-1,500,2100
0,35,40,0,20,40,20,39,-1,500,2100
0,35,40,100,20,40,20,39,-1,500,2100
0,32,40,30,20,40,20,39,-1,500,2100
0,38,40,30,20,40,20,39,-1,500,2100
0,32,25,30,20,40,20,39,-1,500,2100
0,32,25,30,20,40,20,39,-1,500,2100
0,32,25,30,20,40,20,39,-1,280,2100
0,32,25,30,20,40,20,39,-1,1680,2100
0,32,25,30,20,40,20,39,-3,500,2100
0,32,25,30,20,40,20,39,1,500,2100
0,32,25,30,20,40,20,37,-1,500,2100
0,32,25,30,20,40,20,41,-1,500,2100
0,32,25,30,20,40,5,39,-1,500,2100
0,32,25,30,20,40,30,39,-1,500,2100
0,32,25,30,20,20,20,39,-1,500,2100
0,32,25,30,20,60,20,39,-1,500,2100
0,32,25,30,10,40,20,39,-1,500,2100
0,32,25,30,40,40,20,39,-1,500,2100
0,32,25,0,20,40,20,39,-1,500,2100
0,32,25,100,20,40,20,39,-1,500,2100
0,32,10,30,20,40,20,39,-1,500,2100
0,32,40,30,20,40,20,39,-1,500,2100
0,38,25,30,20,40,20,39,-1,500,2100
0,38,25,30,20,40,20,39,-1,500,2100
0,38,25,30,20,40,20,39,-1,280,2100
0,38,25,30,20,40,20,39,-1,1680,2100
0,38,25,30,20,40,20,39,-3,500,2100
0,38,25,30,20,40,20,39,1,500,2100
0,38,25,30,20,40,20,37,-1,500,2100
0,38,25,30,20,40,20,41,-1,500,2100
0,38,25,30,20,40,5,39,-1,500,2100
0,38,25,30,20,40,30,39,-1,500,2100
0,38,25,30,20,20,20,39,-1,500,2100
0,38,25,30,20,60,20,39,-1,500,2100
0,38,25,30,10,40,20,39,-1,500,2100
0,38,25,30,40,40,20,39,-1,500,2100
0,38,25,0,20,40,20,39,-1,500,2100
0,38,25,100,20,40,20,39,-1,500,2100
0,38,10,30,20,40,20,39,-1,500,2100
0,38,40,30,20,40,20,39,-1,500,2100
0,35,25,0,20,40,20,39,-1,500,2100
0,35,25,0,20,40,20,39,-1,500,2100
0,35,25,0,20,40,20,39,-1,280,2100
0,35,25,0,20,40,20,39,-1,1680,2100
0,35,25,0,20,40,20,39,-3,500,2100
0,35,25,0,20,40,20,39,1,500,2100
0,35,25,0,20,40,20,37,-1,500,2100
0,35,25,0,20,40,20,41,-1,500,2100
0,35,25,0,20,40,5,39,-1,500,2100
0,35,25,0,20,40,30,39,-1,500,2100
0,35,25,0,20,20,20,39,-1,500,2100
0,35,25,0,20,60,20,39,-1,500,2100
0,35,25,0,10,40,20,39,-1,500,2100
0,35,25,0,40,40,20,39,-1,500,2100
0,35,10,0,20,40,20,39,-1,500,2100
0,35,40,0,20,40,20,39,-1,500,2100
0,32,25,0,20,40,20,39,-1,500,2100
0,38,25,0,20,40,20,39,-1,500,2100
0,35,25,100,20,40,20,39,-1,500,2100
0,35,25,100,20,40,20,39,-1,500,2100
0,35,25,100,20,40,20,39,-1,280,2100
0,35,25,100,20,40,20,39,-1,1680,2100
0,35,25,100,20,40,20,39,-3,500,2100
0,35,25,100,20,40,20,39,1,500,2100
0,35,25,100,20,40,20,37,-1,500,2100
0,35,25,100,20,40,20,41,-1,500,2100
0,35,25,100,20,40,5,39,-1,500,2100
0,35,25,100,20,40,30,39,-1,500,2100
0,35,25,100,20,20,20,39,-1,500,2100
0,35,25,100,20,60,20,39,-1,500,2100
0,35,25,100,10,40,20,39,-1,500,2100
0,35,25,100,40,40,20,39,-1,500,2100
0,35,10,100,20,40,20,39,-1,500,2100
0,35,40,100,20,40,20,39,-1,500,2100
0,32,25,100,20,40,20,39,-1,500,2100
0,38,25,100,20,40,20,39,-1,500,2100
