time,d11B,upper,lower
-166,15.34,15.53,15.15
-166,15.37,15.58,15.16
-29,15.69,15.91,15.47
-21,15.73,16.18,15.28
-19,15.46,15.68,15.24
-15,15.73,16.12,15.34
-11,15.35,15.65,15.05
5,14.76,15.16,14.36
6,14.51,14.74,14.28
6,14.49,14.83,14.15
17.31,14.82,15.12,14.52
40.38,15.11,15.39,14.83
57.69,14.46,14.67,14.25
57.69,14.45,14.9,14
77,14.92,15.15,14.69
79.58,14.9,15.2,14.6
86.46,15.09,15.33,14.85
102.5,14.96,15.25,14.67
124,15.13,15.36,14.9
143.4,15.43,15.81,15.05
148.19,15.86,16.09,15.63
191.28,15.76,15.95,15.57
214.26,15.39,15.58,15.2
221,15.4,15.59,15.21
